Split,Swim Stroke,Lengths,Distance,Time,Avg Pace,Best Pace,Avg SWOLF,Avg Power,Max Power,Total Strokes,Avg Strokes,Calories
1,MIXED,8,200.0,00:04:42.977,0:23:32  ,0:18:26  ,48.0,--,--,106,13.0,49
1.1,FREESTYLE,1,25.0,00:00:36.875,0:24:37  ,0:24:37  ,49.0,--,--,12,--,--
1.2,FREESTYLE,1,25.0,00:00:27.625,0:18:26  ,0:18:26  ,36.0,--,--,8,--,--
1.3,BREASTSTROKE,1,25.0,00:00:46.250,0:30:51  ,0:30:51  ,65.0,--,--,19,--,--
1.4,BREASTSTROKE,1,25.0,00:00:30.687,0:20:28  ,0:20:28  ,44.0,--,--,13,--,--
1.5,FREESTYLE,1,25.0,00:00:31.750,0:21:10  ,0:21:10  ,42.0,--,--,10,--,--
1.6,FREESTYLE,1,25.0,00:00:39.875,0:26:37  ,0:26:37  ,54.0,--,--,14,--,--
1.7,BREASTSTROKE,1,25.0,00:00:35.62,0:23:22  ,0:23:22  ,51.0,--,--,16,--,--
1.8,BREASTSTROKE,1,25.0,00:00:34.375,0:22:55  ,0:22:55  ,48.0,--,--,14,--,--
REST,,,0.0,00:00:12.477,--,--,0.0,--,--,--,13.222222222222221,--
2,FREESTYLE,32,800.0,00:16:05.703,0:20:07  ,0:14:08  ,40.0,--,--,339,10.0,160
2.1,FREESTYLE,1,25.0,00:00:35.62,0:23:22  ,0:23:22  ,48.0,--,--,13,--,--
2.2,FREESTYLE,1,25.0,00:00:32.937,0:21:57  ,0:21:57  ,43.0,--,--,10,--,--
2.3,FREESTYLE,1,25.0,00:00:35.187,0:23:28  ,0:23:28  ,47.0,--,--,12,--,--
2.4,FREESTYLE,1,25.0,00:00:29.562,0:19:43  ,0:19:43  ,40.0,--,--,10,--,--
2.5,FREESTYLE,1,25.0,00:00:28.750,0:19:10  ,0:19:10  ,39.0,--,--,10,--,--
2.6,FREESTYLE,1,25.0,00:00:29.937,0:19:57  ,0:19:57  ,40.0,--,--,10,--,--
2.7,FREESTYLE,1,25.0,00:00:30.750,0:20:30  ,0:20:30  ,41.0,--,--,10,--,--
2.8,FREESTYLE,1,25.0,00:00:30.500,0:20:21  ,0:20:21  ,41.0,--,--,10,--,--
2.9,FREESTYLE,1,25.0,00:00:35.750,0:23:50  ,0:23:50  ,49.0,--,--,13,--,--
2.10,FREESTYLE,1,25.0,00:00:27.812,0:18:33  ,0:18:33  ,37.0,--,--,9,--,--
2.11,FREESTYLE,1,25.0,00:00:35.00,0:23:20  ,0:23:20  ,47.0,--,--,12,--,--
2.12,FREESTYLE,1,25.0,00:00:35.00,0:23:20  ,0:23:20  ,47.0,--,--,12,--,--
2.13,FREESTYLE,1,25.0,00:00:26.437,0:17:38  ,0:17:38  ,35.0,--,--,9,--,--
2.14,FREESTYLE,1,25.0,00:00:28.937,0:19:18  ,0:19:18  ,39.0,--,--,10,--,--
2.15,FREESTYLE,1,25.0,00:00:32.937,0:21:57  ,0:21:57  ,44.0,--,--,11,--,--
2.16,FREESTYLE,1,25.0,00:00:32.686,0:21:48  ,0:21:48  ,45.0,--,--,12,--,--
2.17,FREESTYLE,1,25.0,00:00:28.00,0:18:41  ,0:18:41  ,38.0,--,--,10,--,--
2.18,FREESTYLE,1,25.0,00:00:29.62,0:19:22  ,0:19:22  ,38.0,--,--,9,--,--
2.19,FREESTYLE,1,25.0,00:00:37.187,0:24:48  ,0:24:48  ,50.0,--,--,13,--,--
2.20,FREESTYLE,1,25.0,00:00:27.62,0:18:03  ,0:18:03  ,35.0,--,--,8,--,--
2.21,FREESTYLE,1,25.0,00:00:24.187,0:16:08  ,0:16:08  ,32.0,--,--,8,--,--
2.22,FREESTYLE,1,25.0,00:00:34.562,0:23:03  ,0:23:03  ,47.0,--,--,12,--,--
2.23,FREESTYLE,1,25.0,00:00:26.687,0:17:48  ,0:17:48  ,36.0,--,--,9,--,--
2.24,FREESTYLE,1,25.0,00:00:28.562,0:19:02  ,0:19:02  ,39.0,--,--,10,--,--
2.25,FREESTYLE,1,25.0,00:00:34.875,0:23:16  ,0:23:16  ,49.0,--,--,14,--,--
2.26,FREESTYLE,1,25.0,00:00:21.187,0:14:08  ,0:14:08  ,29.0,--,--,8,--,--
2.27,FREESTYLE,1,25.0,00:00:28.125,0:18:46  ,0:18:46  ,39.0,--,--,11,--,--
2.28,FREESTYLE,1,25.0,00:00:26.750,0:17:50  ,0:17:50  ,38.0,--,--,11,--,--
2.29,FREESTYLE,1,25.0,00:00:31.500,0:21:01  ,0:21:01  ,44.0,--,--,12,--,--
2.30,FREESTYLE,1,25.0,00:00:24.812,0:16:33  ,0:16:33  ,35.0,--,--,10,--,--
2.31,FREESTYLE,1,25.0,00:00:29.62,0:19:22  ,0:19:22  ,40.0,--,--,11,--,--
2.32,FREESTYLE,1,25.0,00:00:26.875,0:17:55  ,0:17:55  ,37.0,--,--,10,--,--
REST,,,0.0,00:00:52.859,--,--,0.0,--,--,--,11.24390243902439,--
3,BREASTSTROKE,8,200.0,00:05:13.602,0:26:07  ,0:22:25  ,55.0,--,--,130,16.0,56
3.1,BREASTSTROKE,1,25.0,00:00:38.687,0:25:47  ,0:25:47  ,55.0,--,--,16,--,--
3.2,BREASTSTROKE,1,25.0,00:00:38.437,0:25:38  ,0:25:38  ,54.0,--,--,16,--,--
3.3,BREASTSTROKE,1,25.0,00:00:46.250,0:30:51  ,0:30:51  ,64.0,--,--,18,--,--
3.4,BREASTSTROKE,1,25.0,00:00:39.312,0:26:14  ,0:26:14  ,55.0,--,--,16,--,--
3.5,BREASTSTROKE,1,25.0,00:00:33.625,0:22:25  ,0:22:25  ,49.0,--,--,15,--,--
3.6,BREASTSTROKE,1,25.0,00:00:36.812,0:24:32  ,0:24:32  ,52.0,--,--,15,--,--
3.7,BREASTSTROKE,1,25.0,00:00:40.125,0:26:45  ,0:26:45  ,57.0,--,--,17,--,--
3.8,BREASTSTROKE,1,25.0,00:00:40.312,0:26:52  ,0:26:52  ,57.0,--,--,17,--,--
REST,,,0.0,00:00:53.898,--,--,0.0,--,--,--,11.877551020408163,--
4,FREESTYLE,25,625.0,00:12:34.70,0:20:06  ,0:11:35  ,40.0,--,--,262,10.0,125
4.1,FREESTYLE,1,25.0,00:00:21.625,0:14:25  ,0:14:25  ,29.0,--,--,7,--,--
4.2,FREESTYLE,1,25.0,00:00:17.375,0:11:35  ,0:11:35  ,22.0,--,--,5,--,--
4.3,FREESTYLE,1,25.0,00:00:30.750,0:20:30  ,0:20:30  ,42.0,--,--,11,--,--
4.4,FREESTYLE,1,25.0,00:00:24.437,0:16:17  ,0:16:17  ,32.0,--,--,8,--,--
4.5,FREESTYLE,1,25.0,00:00:33.750,0:22:31  ,0:22:31  ,46.0,--,--,12,--,--
4.6,FREESTYLE,1,25.0,00:00:31.562,0:21:02  ,0:21:02  ,42.0,--,--,10,--,--
4.7,FREESTYLE,1,25.0,00:00:31.250,0:20:49  ,0:20:49  ,41.0,--,--,10,--,--
4.8,FREESTYLE,1,25.0,00:00:32.500,0:21:40  ,0:21:40  ,44.0,--,--,11,--,--
4.9,FREESTYLE,1,25.0,00:00:31.750,0:21:10  ,0:21:10  ,42.0,--,--,10,--,--
4.10,FREESTYLE,1,25.0,00:00:36.750,0:24:30  ,0:24:30  ,50.0,--,--,13,--,--
4.11,FREESTYLE,1,25.0,00:00:28.812,0:19:13  ,0:19:13  ,38.0,--,--,9,--,--
4.12,FREESTYLE,1,25.0,00:00:30.562,0:20:22  ,0:20:22  ,41.0,--,--,10,--,--
4.13,FREESTYLE,1,25.0,00:00:32.250,0:21:30  ,0:21:30  ,44.0,--,--,12,--,--
