Split,Swim Stroke,Lengths,Distance,Time,Avg Pace,Best Pace,Avg SWOLF,Avg Power,Max Power,Total Strokes,Avg Strokes,Calories
1,MIXED,8,200.0,00:04:32.813,0:22:42  ,0:18:55  ,46.0,--,--,103,12.0,48
1.1,FREESTYLE,1,25.0,00:00:28.375,0:18:55  ,0:18:55  ,37.0,--,--,9,--,--
1.2,FREESTYLE,1,25.0,00:00:32.812,0:21:54  ,0:21:54  ,45.0,--,--,12,--,--
1.3,FREESTYLE,1,25.0,00:00:30.687,0:20:28  ,0:20:28  ,41.0,--,--,10,--,--
1.4,FREESTYLE,1,25.0,00:00:29.437,0:19:37  ,0:19:37  ,39.0,--,--,10,--,--
1.5,BREASTSTROKE,1,25.0,00:00:36.500,0:24:21  ,0:24:21  ,50.0,--,--,13,--,--
1.6,BREASTSTROKE,1,25.0,00:00:36.500,0:24:21  ,0:24:21  ,53.0,--,--,16,--,--
1.7,BREASTSTROKE,1,25.0,00:00:39.437,0:26:19  ,0:26:19  ,55.0,--,--,16,--,--
1.8,BREASTSTROKE,1,25.0,00:00:38.687,0:25:47  ,0:25:47  ,56.0,--,--,17,--,--
REST,,,0.0,00:00:43.406,--,--,0.0,--,--,--,11.444444444444445,--
2,DRILL,2,50.0,00:01:50.55,--,--,0.0,--,--,--,9.363636363636363,--
2.1,DRILL,1,25.0,00:00:55.27,--,--,--,--,--,0,--,--
2.2,DRILL,1,25.0,00:00:55.27,--,--,--,--,--,0,--,--
REST,,,0.0,00:00:24.883,--,--,0.0,--,--,--,9.363636363636363,--
3,DRILL,2,50.0,00:01:31.391,--,--,0.0,--,--,--,7.923076923076923,--
3.1,DRILL,1,25.0,00:00:45.695,--,--,--,--,--,0,--,--
3.2,DRILL,1,25.0,00:00:45.695,--,--,--,--,--,0,--,--
REST,,,0.0,00:00:37.109,--,--,0.0,--,--,--,7.923076923076923,--
4,DRILL,2,50.0,00:01:53.656,--,--,0.0,--,--,--,7.6,--
4.1,DRILL,1,25.0,00:00:56.828,--,--,--,--,--,0,--,--
4.2,DRILL,1,25.0,00:00:56.828,--,--,--,--,--,0,--,--
REST,,,0.0,00:01:28.94,--,--,0.0,--,--,--,7.6,--
5,FREESTYLE,2,50.0,00:01:01.78,0:20:21  ,0:18:51  ,40.0,--,--,19,9.0,10
5.1,FREESTYLE,1,25.0,00:00:32.812,0:21:54  ,0:21:54  ,44.0,--,--,11,--,--
5.2,FREESTYLE,1,25.0,00:00:28.250,0:18:51  ,0:18:51  ,36.0,--,--,8,--,--
REST,,,0.0,00:00:55.859,--,--,0.0,--,--,--,7.647058823529412,--
6,FREESTYLE,8,200.0,00:03:14.336,0:16:11  ,0:13:47  ,33.0,--,--,74,9.0,40
6.1,FREESTYLE,1,25.0,00:00:22.125,0:14:45  ,0:14:45  ,30.0,--,--,8,--,--
6.2,FREESTYLE,1,25.0,00:00:24.375,0:16:15  ,0:16:15  ,33.0,--,--,9,--,--
6.3,FREESTYLE,1,25.0,00:00:27.937,0:18:38  ,0:18:38  ,38.0,--,--,10,--,--
6.4,FREESTYLE,1,25.0,00:00:20.687,0:13:47  ,0:13:47  ,29.0,--,--,8,--,--
6.5,FREESTYLE,1,25.0,00:00:27.812,0:18:33  ,0:18:33  ,39.0,--,--,11,--,--
6.6,FREESTYLE,1,25.0,00:00:23.750,0:15:50  ,0:15:50  ,34.0,--,--,10,--,--
6.7,FREESTYLE,1,25.0,00:00:26.00,0:17:20  ,0:17:20  ,36.0,--,--,10,--,--
6.8,FREESTYLE,1,25.0,00:00:21.687,0:14:28  ,0:14:28  ,30.0,--,--,8,--,--
REST,,,0.0,00:02:16.602,--,--,0.0,--,--,--,8.52,--
7,BREASTSTROKE,8,200.0,00:05:13.461,0:26:07  ,0:21:01  ,56.0,--,--,141,17.0,57
7.1,BREASTSTROKE,1,25.0,00:00:35.562,0:23:44  ,0:23:44  ,53.0,--,--,17,--,--
7.2,BREASTSTROKE,1,25.0,00:00:41.875,0:27:55  ,0:27:55  ,62.0,--,--,20,--,--
7.3,BREASTSTROKE,1,25.0,00:00:38.375,0:25:36  ,0:25:36  ,55.0,--,--,17,--,--
7.4,BREASTSTROKE,1,25.0,00:00:40.625,0:27:06  ,0:27:06  ,59.0,--,--,18,--,--
7.5,BREASTSTROKE,1,25.0,00:00:40.500,0:27:00  ,0:27:00  ,59.0,--,--,18,--,--
7.6,BREASTSTROKE,1,25.0,00:00:40.375,0:26:55  ,0:26:55  ,58.0,--,--,18,--,--
7.7,BREASTSTROKE,1,25.0,00:00:44.687,0:29:48  ,0:29:48  ,64.0,--,--,19,--,--
7.8,BREASTSTROKE,1,25.0,00:00:31.500,0:21:01  ,0:21:01  ,46.0,--,--,14,--,--
REST,,,0.0,00:01:09.977,--,--,0.0,--,--,--,10.545454545454545,--
8,FREESTYLE,40,1000.0,00:21:10.94,0:21:10  ,0:17:05  ,42.0,--,--,424,10.0,200
8.1,FREESTYLE,1,25.0,00:00:31.812,0:21:13  ,0:21:13  ,43.0,--,--,11,--,--
8.2,FREESTYLE,1,25.0,00:00:28.375,0:18:55  ,0:18:55  ,37.0,--,--,9,--,--
8.3,FREESTYLE,1,25.0,00:00:30.812,0:20:33  ,0:20:33  ,41.0,--,--,10,--,--
8.4,FREESTYLE,1,25.0,00:00:38.62,0:25:24  ,0:25:24  ,51.0,--,--,13,--,--
8.5,FREESTYLE,1,25.0,00:00:30.875,0:20:36  ,0:20:36  ,41.0,--,--,10,--,--
8.6,FREESTYLE,1,25.0,00:00:34.62,0:22:44  ,0:22:44  ,45.0,--,--,11,--,--
8.7,FREESTYLE,1,25.0,00:00:25.625,0:17:05  ,0:17:05  ,34.0,--,--,8,--,--
8.8,FREESTYLE,1,25.0,00:00:33.312,0:22:13  ,0:22:13  ,44.0,--,--,11,--,--
8.9,FREESTYLE,1,25.0,00:00:30.62,0:20:03  ,0:20:03  ,40.0,--,--,10,--,--
8.10,FREESTYLE,1,25.0,00:00:31.625,0:21:05  ,0:21:05  ,42.0,--,--,10,--,--
8.11,FREESTYLE,1,25.0,00:00:37.187,0:24:48  ,0:24:48  ,51.0,--,--,14,--,--
