Split,Swim Stroke,Lengths,Distance,Time,Avg Pace,Best Pace,Avg SWOLF,Avg Power,Max Power,Total Strokes,Avg Strokes,Calories
1,MIXED,8,200.0,00:04:23.766,0:21:57  ,0:19:37  ,44.0,--,--,96,12.0,50
1.1,BREASTSTROKE,1,25.0,00:00:34.500,0:23:01  ,0:23:01  ,49.0,--,--,14,--,--
1.2,BREASTSTROKE,1,25.0,00:00:41.187,0:27:30  ,0:27:30  ,57.0,--,--,16,--,--
1.3,FREESTYLE,1,25.0,00:00:30.687,0:20:28  ,0:20:28  ,41.0,--,--,10,--,--
1.4,FREESTYLE,1,25.0,00:00:32.311,0:21:33  ,0:21:33  ,42.0,--,--,10,--,--
1.5,BREASTSTROKE,1,25.0,00:00:29.437,0:19:37  ,0:19:37  ,42.0,--,--,13,--,--
1.6,BREASTSTROKE,1,25.0,00:00:30.375,0:20:15  ,0:20:15  ,43.0,--,--,13,--,--
1.7,FREESTYLE,1,25.0,00:00:34.500,0:23:01  ,0:23:01  ,46.0,--,--,11,--,--
1.8,FREESTYLE,1,25.0,00:00:30.437,0:20:18  ,0:20:18  ,39.0,--,--,9,--,--
REST,,,0.0,00:00:13.258,--,--,0.0,--,--,--,8.727272727272727,--
2,DRILL,4,100.0,00:02:42.508,--,--,0.0,--,--,--,8.0,--
2.1,DRILL,1,25.0,00:00:40.627,--,--,--,--,--,0,--,--
2.2,DRILL,1,25.0,00:00:40.627,--,--,--,--,--,0,--,--
2.3,DRILL,1,25.0,00:00:40.627,--,--,--,--,--,0,--,--
2.4,DRILL,1,25.0,00:00:40.627,--,--,--,--,--,0,--,--
REST,,,0.0,00:00:35.492,--,--,0.0,--,--,--,8.0,--
3,FREESTYLE,2,50.0,00:00:56.289,0:18:46  ,0:17:20  ,36.0,--,--,17,8.0,10
3.1,FREESTYLE,1,25.0,00:00:26.00,0:17:20  ,0:17:20  ,34.0,--,--,8,--,--
3.2,FREESTYLE,1,25.0,00:00:30.312,0:20:13  ,0:20:13  ,39.0,--,--,9,--,--
REST,,,0.0,00:01:17.898,--,--,0.0,--,--,--,8.066666666666666,--
4,FREESTYLE,4,100.0,00:01:32.656,0:15:26  ,0:13:13  ,32.0,--,--,36,9.0,20
4.1,FREESTYLE,1,25.0,00:00:21.500,0:14:20  ,0:14:20  ,30.0,--,--,8,--,--
4.2,FREESTYLE,1,25.0,00:00:23.125,0:15:25  ,0:15:25  ,32.0,--,--,9,--,--
4.3,FREESTYLE,1,25.0,00:00:28.250,0:18:51  ,0:18:51  ,38.0,--,--,10,--,--
4.4,FREESTYLE,1,25.0,00:00:19.812,0:13:13  ,0:13:13  ,29.0,--,--,9,--,--
REST,,,0.0,00:00:43.344,--,--,0.0,--,--,--,8.578947368421053,--
5,BREASTSTROKE,2,50.0,00:01:09.438,0:23:08  ,0:22:46  ,49.0,--,--,29,14.0,14
5.1,BREASTSTROKE,1,25.0,00:00:34.125,0:22:46  ,0:22:46  ,48.0,--,--,14,--,--
5.2,BREASTSTROKE,1,25.0,00:00:35.312,0:23:34  ,0:23:34  ,50.0,--,--,15,--,--
REST,,,0.0,00:00:16.625,--,--,0.0,--,--,--,7.739130434782608,--
6,DRILL,4,100.0,00:02:47.594,--,--,0.0,--,--,--,7.52,--
6.1,DRILL,1,25.0,00:00:41.898,--,--,--,--,--,0,--,--
6.2,DRILL,1,25.0,00:00:41.898,--,--,--,--,--,0,--,--
6.3,DRILL,1,25.0,00:00:41.898,--,--,--,--,--,0,--,--
6.4,DRILL,1,25.0,00:00:41.898,--,--,--,--,--,0,--,--
REST,,,0.0,00:00:58.219,--,--,0.0,--,--,--,7.52,--
7,FREESTYLE,20,500.0,00:10:30.531,0:21:01  ,0:17:40  ,42.0,--,--,210,10.0,100
7.1,FREESTYLE,1,25.0,00:00:31.812,0:21:13  ,0:21:13  ,42.0,--,--,10,--,--
7.2,FREESTYLE,1,25.0,00:00:30.312,0:20:13  ,0:20:13  ,40.0,--,--,10,--,--
7.3,FREESTYLE,1,25.0,00:00:26.500,0:17:40  ,0:17:40  ,36.0,--,--,9,--,--
7.4,FREESTYLE,1,25.0,00:00:30.937,0:20:37  ,0:20:37  ,41.0,--,--,10,--,--
7.5,FREESTYLE,1,25.0,00:00:31.562,0:21:02  ,0:21:02  ,42.0,--,--,10,--,--
