Split,Swim Stroke,Lengths,Distance,Time,Avg Pace,Best Pace,Avg SWOLF,Avg Power,Max Power,Total Strokes,Avg Strokes,Calories
1,MIXED,8,200.0,00:04:11.539,0:20:56  ,0:16:48  ,43.0,--,--,94,11.0,49
1.1,BREASTSTROKE,1,25.0,00:00:37.812,0:25:12  ,0:25:12  ,50.0,--,--,12,--,--
1.2,BREASTSTROKE,1,25.0,00:00:39.00,0:26:00  ,0:26:00  ,55.0,--,--,16,--,--
1.3,FREESTYLE,1,25.0,00:00:30.250,0:20:10  ,0:20:10  ,40.0,--,--,10,--,--
1.4,FREESTYLE,1,25.0,00:00:25.312,0:16:53  ,0:16:53  ,33.0,--,--,8,--,--
1.5,BREASTSTROKE,1,25.0,00:00:37.250,0:24:50  ,0:24:50  ,53.0,--,--,16,--,--
1.6,BREASTSTROKE,1,25.0,00:00:29.875,0:19:56  ,0:19:56  ,44.0,--,--,14,--,--
1.7,FREESTYLE,1,25.0,00:00:26.500,0:17:40  ,0:17:40  ,37.0,--,--,10,--,--
1.8,FREESTYLE,1,25.0,00:00:25.187,0:16:48  ,0:16:48  ,33.0,--,--,8,--,--
REST,,,0.0,00:00:15.484,--,--,0.0,--,--,--,8.545454545454545,--
2,DRILL,4,100.0,00:03:57.156,--,--,0.0,--,--,--,8.0,--
2.1,DRILL,1,25.0,00:00:59.289,--,--,--,--,--,0,--,--
2.2,DRILL,1,25.0,00:00:59.289,--,--,--,--,--,0,--,--
2.3,DRILL,1,25.0,00:00:59.289,--,--,--,--,--,0,--,--
2.4,DRILL,1,25.0,00:00:59.289,--,--,--,--,--,0,--,--
REST,,,0.0,00:00:16.781,--,--,0.0,--,--,--,8.0,--
3,MIXED,16,400.0,00:07:35.438,0:18:58  ,0:11:47  ,39.0,--,--,177,11.0,101
3.1,FREESTYLE,1,25.0,00:00:28.00,0:18:41  ,0:18:41  ,38.0,--,--,10,--,--
3.2,FREESTYLE,1,25.0,00:00:24.125,0:16:05  ,0:16:05  ,34.0,--,--,10,--,--
3.3,BREASTSTROKE,1,25.0,00:00:30.375,0:20:15  ,0:20:15  ,41.0,--,--,11,--,--
3.4,FREESTYLE,1,25.0,00:00:17.687,0:11:47  ,0:11:47  ,25.0,--,--,7,--,--
3.5,FREESTYLE,1,25.0,00:00:29.875,0:19:56  ,0:19:56  ,42.0,--,--,12,--,--
3.6,BREASTSTROKE,1,25.0,00:00:28.937,0:19:18  ,0:19:18  ,43.0,--,--,14,--,--
3.7,BREASTSTROKE,1,25.0,00:00:31.312,0:20:53  ,0:20:53  ,45.0,--,--,14,--,--
3.8,BREASTSTROKE,1,25.0,00:00:24.687,0:16:28  ,0:16:28  ,36.0,--,--,11,--,--
3.9,FREESTYLE,1,25.0,00:00:35.437,0:23:38  ,0:23:38  ,48.0,--,--,13,--,--
3.10,BACKSTROKE,1,25.0,00:00:33.250,0:22:11  ,0:22:11  ,45.0,--,--,12,--,--
3.11,BACKSTROKE,1,25.0,00:00:37.312,0:24:52  ,0:24:52  ,51.0,--,--,14,--,--
3.12,BACKSTROKE,1,25.0,00:00:36.00,0:24:00  ,0:24:00  ,49.0,--,--,13,--,--
3.13,BACKSTROKE,1,25.0,00:00:21.250,0:14:10  ,0:14:10  ,28.0,--,--,7,--,--
3.14,BREASTSTROKE,1,25.0,00:00:20.187,0:13:27  ,0:13:27  ,27.0,--,--,7,--,--
3.15,FREESTYLE,1,25.0,00:00:32.61,0:21:23  ,0:21:23  ,45.0,--,--,13,--,--
3.16,FREESTYLE,1,25.0,00:00:25.00,0:16:40  ,0:16:40  ,34.0,--,--,9,--,--
REST,,,0.0,00:00:24.750,--,--,0.0,--,--,--,8.741935483870968,--
4,DRILL,4,100.0,00:03:47.31,--,--,0.0,--,--,--,8.666666666666666,--
4.1,DRILL,1,25.0,00:00:56.757,--,--,--,--,--,0,--,--
4.2,DRILL,1,25.0,00:00:56.757,--,--,--,--,--,0,--,--
4.3,DRILL,1,25.0,00:00:56.757,--,--,--,--,--,0,--,--
4.4,DRILL,1,25.0,00:00:56.757,--,--,--,--,--,0,--,--
REST,,,0.0,00:00:12.156,--,--,0.0,--,--,--,8.666666666666666,--
5,MIXED,8,200.0,00:04:19.711,0:21:38  ,0:14:15  ,45.0,--,--,102,12.0,48
5.1,BREASTSTROKE,1,25.0,00:00:34.687,0:23:08  ,0:23:08  ,50.0,--,--,15,--,--
5.2,BREASTSTROKE,1,25.0,00:00:32.186,0:21:28  ,0:21:28  ,47.0,--,--,15,--,--
5.3,FREESTYLE,1,25.0,00:00:36.437,0:24:17  ,0:24:17  ,48.0,--,--,12,--,--
5.4,FREESTYLE,1,25.0,00:00:36.500,0:24:21  ,0:24:21  ,50.0,--,--,13,--,--
5.5,FREESTYLE,1,25.0,00:00:21.375,0:14:15  ,0:14:15  ,28.0,--,--,7,--,--
5.6,FREESTYLE,1,25.0,00:00:31.250,0:20:49  ,0:20:49  ,41.0,--,--,10,--,--
5.7,BREASTSTROKE,1,25.0,00:00:34.125,0:22:46  ,0:22:46  ,50.0,--,--,16,--,--
5.8,BREASTSTROKE,1,25.0,00:00:33.125,0:22:06  ,0:22:06  ,47.0,--,--,14,--,--
Summary,,40,1000.0,00:25:00.102,0:20:07  ,0:11:47  ,41.0,--,--,373,11.600000381469727,198
