Split,Swim Stroke,Lengths,Distance,Time,Avg Pace,Best Pace,Avg SWOLF,Avg Power,Max Power,Total Strokes,Avg Strokes,Calories
1,MIXED,8,200.0,00:04:13.953,0:21:07  ,0:16:58  ,44.0,--,--,103,12.0,46
1.1,FREESTYLE,1,25.0,00:00:31.875,0:21:15  ,0:21:15  ,43.0,--,--,11,--,--
1.2,FREESTYLE,1,25.0,00:00:25.437,0:16:58  ,0:16:58  ,34.0,--,--,9,--,--
1.3,FREESTYLE,1,25.0,00:00:28.00,0:18:41  ,0:18:41  ,38.0,--,--,10,--,--
1.4,FREESTYLE,1,25.0,00:00:28.687,0:19:08  ,0:19:08  ,39.0,--,--,10,--,--
1.5,FREESTYLE,1,25.0,00:00:33.812,0:22:33  ,0:22:33  ,50.0,--,--,16,--,--
1.6,BREASTSTROKE,1,25.0,00:00:33.687,0:22:27  ,0:22:27  ,50.0,--,--,16,--,--
1.7,BREASTSTROKE,1,25.0,00:00:37.562,0:25:03  ,0:25:03  ,55.0,--,--,17,--,--
1.8,BREASTSTROKE,1,25.0,00:00:34.500,0:23:01  ,0:23:01  ,49.0,--,--,14,--,--
REST,,,0.0,00:01:09.977,--,--,0.0,--,--,--,12.666666666666666,--
2,FREESTYLE,2,50.0,00:00:45.352,0:15:07  ,0:14:30  ,32.0,--,--,20,10.0,10
2.1,FREESTYLE,1,25.0,00:00:23.625,0:15:45  ,0:15:45  ,35.0,--,--,11,--,--
2.2,FREESTYLE,1,25.0,00:00:21.750,0:14:30  ,0:14:30  ,31.0,--,--,9,--,--
REST,,,0.0,00:00:57.961,--,--,0.0,--,--,--,12.090909090909092,--
3,FREESTYLE,3,75.0,00:01:32.383,0:20:33  ,0:13:57  ,44.0,--,--,41,13.0,15
3.1,FREESTYLE,1,25.0,00:00:22.625,0:15:05  ,0:15:05  ,33.0,--,--,10,--,--
3.2,FREESTYLE,1,25.0,00:00:48.875,0:32:36  ,0:32:36  ,72.0,--,--,23,--,--
3.3,FREESTYLE,1,25.0,00:00:20.937,0:13:57  ,0:13:57  ,29.0,--,--,8,--,--
REST,,,0.0,00:00:51.992,--,--,0.0,--,--,--,12.785714285714286,--
4,BREASTSTROKE,4,100.0,00:02:16.281,0:22:42  ,0:19:28  ,49.0,--,--,63,15.0,30
4.1,BREASTSTROKE,1,25.0,00:00:31.500,0:21:01  ,0:21:01  ,47.0,--,--,15,--,--
4.2,BREASTSTROKE,1,25.0,00:00:34.937,0:23:18  ,0:23:18  ,51.0,--,--,16,--,--
4.3,BREASTSTROKE,1,25.0,00:00:40.687,0:27:08  ,0:27:08  ,59.0,--,--,18,--,--
4.4,BREASTSTROKE,1,25.0,00:00:29.187,0:19:28  ,0:19:28  ,43.0,--,--,14,--,--
REST,,,0.0,00:01:27.656,--,--,0.0,--,--,--,13.166666666666666,--
5,FREESTYLE,8,200.0,00:03:19.828,0:15:31  ,0:09:32  ,33.0,--,--,80,10.0,40
5.1,FREESTYLE,1,25.0,00:00:23.00,0:15:20  ,0:15:20  ,33.0,--,--,10,--,--
5.2,FREESTYLE,1,25.0,00:00:25.375,0:16:55  ,0:16:55  ,36.0,--,--,11,--,--
5.3,FREESTYLE,1,25.0,00:00:24.62,0:16:03  ,0:16:03  ,34.0,--,--,10,--,--
5.4,FREESTYLE,1,25.0,00:00:23.437,0:15:38  ,0:15:38  ,33.0,--,--,10,--,--
5.5,FREESTYLE,1,25.0,00:00:25.312,0:16:53  ,0:16:53  ,36.0,--,--,11,--,--
5.6,FREESTYLE,1,25.0,00:00:25.500,0:17:00  ,0:17:00  ,37.0,--,--,11,--,--
5.7,FREESTYLE,1,25.0,00:00:25.250,0:16:50  ,0:16:50  ,36.0,--,--,11,--,--
5.8,FREESTYLE,1,25.0,00:00:14.312,0:09:32  ,0:09:32  ,20.0,--,--,6,--,--
REST,,,0.0,00:01:08.672,--,--,0.0,--,--,--,12.384615384615385,--
6,BREASTSTROKE,2,50.0,00:01:07.914,0:22:40  ,0:21:15  ,50.0,--,--,32,16.0,14
6.1,BREASTSTROKE,1,25.0,00:00:31.875,0:21:15  ,0:21:15  ,47.0,--,--,15,--,--
6.2,BREASTSTROKE,1,25.0,00:00:36.125,0:24:05  ,0:24:05  ,53.0,--,--,17,--,--
REST,,,0.0,00:00:06.859,--,--,0.0,--,--,--,12.857142857142858,--
REST,,,0.0,00:00:49.773,--,--,0.0,--,--,--,12.857142857142858,--
7,FREESTYLE,23,575.0,00:12:01.719,0:20:54  ,0:14:57  ,42.0,--,--,251,10.0,115
7.1,FREESTYLE,1,25.0,00:00:57.00,0:38:03  ,0:38:03  ,78.0,--,--,21,--,--
7.2,FREESTYLE,1,25.0,00:00:28.812,0:19:13  ,0:19:13  ,39.0,--,--,10,--,--
7.3,FREESTYLE,1,25.0,00:00:30.312,0:20:13  ,0:20:13  ,40.0,--,--,10,--,--
7.4,FREESTYLE,1,25.0,00:00:32.561,0:21:43  ,0:21:43  ,45.0,--,--,12,--,--
7.5,FREESTYLE,1,25.0,00:00:30.687,0:20:28  ,0:20:28  ,43.0,--,--,12,--,--
7.6,FREESTYLE,1,25.0,00:00:26.687,0:17:48  ,0:17:48  ,35.0,--,--,8,--,--
7.7,FREESTYLE,1,25.0,00:00:29.312,0:19:33  ,0:19:33  ,39.0,--,--,10,--,--
7.8,FREESTYLE,1,25.0,00:00:30.375,0:20:15  ,0:20:15  ,40.0,--,--,10,--,--
7.9,FREESTYLE,1,25.0,00:00:32.00,0:21:20  ,0:21:20  ,44.0,--,--,12,--,--
7.10,FREESTYLE,1,25.0,00:00:27.500,0:18:20  ,0:18:20  ,38.0,--,--,10,--,--
7.11,FREESTYLE,1,25.0,00:00:35.812,0:23:52  ,0:23:52  ,48.0,--,--,12,--,--
7.12,FREESTYLE,1,25.0,00:00:24.500,0:16:20  ,0:16:20  ,33.0,--,--,8,--,--
7.13,FREESTYLE,1,25.0,00:00:31.625,0:21:05  ,0:21:05  ,43.0,--,--,11,--,--
7.14,FREESTYLE,1,25.0,00:00:27.750,0:18:31  ,0:18:31  ,37.0,--,--,9,--,--
7.15,FREESTYLE,1,25.0,00:00:32.61,0:21:23  ,0:21:23  ,44.0,--,--,12,--,--
7.16,FREESTYLE,1,25.0,00:00:31.625,0:21:05  ,0:21:05  ,43.0,--,--,11,--,--
7.17,FREESTYLE,1,25.0,00:00:29.625,0:19:46  ,0:19:46  ,40.0,--,--,10,--,--
7.18,FREESTYLE,1,25.0,00:00:41.812,0:27:55  ,0:27:55  ,58.0,--,--,16,--,--
7.19,FREESTYLE,1,25.0,00:00:22.437,0:14:57  ,0:14:57  ,30.0,--,--,8,--,--
7.20,FREESTYLE,1,25.0,00:00:26.437,0:17:38  ,0:17:38  ,34.0,--,--,8,--,--
7.21,FREESTYLE,1,25.0,00:00:31.250,0:20:49  ,0:20:49  ,41.0,--,--,10,--,--
7.22,FREESTYLE,1,25.0,00:00:29.875,0:19:56  ,0:19:56  ,40.0,--,--,10,--,--
7.23,FREESTYLE,1,25.0,00:00:31.625,0:21:05  ,0:21:05  ,43.0,--,--,11,--,--
REST,,,0.0,00:01:03.219,--,--,0.0,--,--,--,11.941176470588236,--
8,MIXED,8,200.0,00:04:48.977,0:24:05  ,0:18:03  ,52.0,--,--,133,16.0,57
8.1,BREASTSTROKE,1,25.0,00:00:38.125,0:25:26  ,0:25:26  ,57.0,--,--,19,--,--
8.2,BREASTSTROKE,1,25.0,00:00:39.687,0:26:29  ,0:26:29  ,58.0,--,--,18,--,--
8.3,BREASTSTROKE,1,25.0,00:00:35.625,0:23:46  ,0:23:46  ,53.0,--,--,17,--,--
8.4,BREASTSTROKE,1,25.0,00:00:33.937,0:22:38  ,0:22:38  ,51.0,--,--,17,--,--
8.5,BREASTSTROKE,1,25.0,00:00:27.62,0:18:03  ,0:18:03  ,42.0,--,--,15,--,--
8.6,BREASTSTROKE,1,25.0,00:00:30.812,0:20:33  ,0:20:33  ,48.0,--,--,17,--,--
8.7,BACKSTROKE,1,25.0,00:00:44.250,0:29:33  ,0:29:33  ,62.0,--,--,18,--,--
8.8,FREESTYLE,1,25.0,00:00:39.500,0:26:22  ,0:26:22  ,52.0,--,--,12,--,--
Summary,,58,1450.0,00:37:42.930,0:20:36  ,0:09:32  ,43.0,--,--,723,12.399999618530273,327
