Split,Swim Stroke,Lengths,Distance,Time,Avg Pace,Best Pace,Avg SWOLF,Avg Power,Max Power,Total Strokes,Avg Strokes,Calories
1,MIXED,7,175.0,00:04:12.141,0:23:58  ,0:16:28  ,48.0,--,--,88,12.0,42
1.1,BREASTSTROKE,1,25.0,00:00:40.125,0:26:45  ,0:26:45  ,51.0,--,--,11,--,--
1.2,BREASTSTROKE,1,25.0,00:00:33.875,0:22:35  ,0:22:35  ,48.0,--,--,14,--,--
1.3,FREESTYLE,1,25.0,00:00:35.625,0:23:46  ,0:23:46  ,47.0,--,--,11,--,--
1.4,FREESTYLE,1,25.0,00:00:54.625,0:36:28  ,0:36:28  ,78.0,--,--,23,--,--
1.5,BREASTSTROKE,1,25.0,00:00:31.250,0:20:49  ,0:20:49  ,43.0,--,--,12,--,--
1.6,FREESTYLE,1,25.0,00:00:31.500,0:21:01  ,0:21:01  ,42.0,--,--,10,--,--
1.7,FREESTYLE,1,25.0,00:00:24.687,0:16:28  ,0:16:28  ,32.0,--,--,7,--,--
REST,,,0.0,00:00:42.531,--,--,0.0,--,--,--,8.8,--
2,DRILL,4,100.0,00:03:08.625,--,--,0.0,--,--,--,8.083333333333334,--
2.1,DRILL,1,25.0,00:00:47.156,--,--,--,--,--,0,--,--
2.2,DRILL,1,25.0,00:00:47.156,--,--,--,--,--,0,--,--
2.3,DRILL,1,25.0,00:00:47.156,--,--,--,--,--,0,--,--
2.4,DRILL,1,25.0,00:00:47.156,--,--,--,--,--,0,--,--
REST,,,0.0,00:00:53.625,--,--,0.0,--,--,--,8.083333333333334,--
3,MIXED,16,400.0,00:07:32.711,0:18:51  ,0:13:47  ,39.0,--,--,182,11.0,97
3.1,FREESTYLE,1,25.0,00:00:30.250,0:20:10  ,0:20:10  ,39.0,--,--,9,--,--
3.2,FREESTYLE,1,25.0,00:00:26.500,0:17:40  ,0:17:40  ,36.0,--,--,9,--,--
3.3,FREESTYLE,1,25.0,00:00:26.687,0:17:48  ,0:17:48  ,36.0,--,--,9,--,--
3.4,FREESTYLE,1,25.0,00:00:28.125,0:18:46  ,0:18:46  ,38.0,--,--,10,--,--
3.5,BREASTSTROKE,1,25.0,00:00:20.687,0:13:47  ,0:13:47  ,32.0,--,--,11,--,--
3.6,BREASTSTROKE,1,25.0,00:00:29.875,0:19:56  ,0:19:56  ,45.0,--,--,15,--,--
3.7,BREASTSTROKE,1,25.0,00:00:29.437,0:19:37  ,0:19:37  ,43.0,--,--,14,--,--
3.8,BREASTSTROKE,1,25.0,00:00:29.437,0:19:37  ,0:19:37  ,43.0,--,--,14,--,--
3.9,BACKSTROKE,1,25.0,00:00:34.250,0:22:51  ,0:22:51  ,48.0,--,--,14,--,--
3.10,BACKSTROKE,1,25.0,00:00:30.687,0:20:28  ,0:20:28  ,43.0,--,--,12,--,--
3.11,BACKSTROKE,1,25.0,00:00:31.62,0:20:43  ,0:20:43  ,44.0,--,--,13,--,--
3.12,BACKSTROKE,1,25.0,00:00:30.187,0:20:07  ,0:20:07  ,43.0,--,--,13,--,--
3.13,FREESTYLE,1,25.0,00:00:29.875,0:19:56  ,0:19:56  ,41.0,--,--,11,--,--
3.14,FREESTYLE,1,25.0,00:00:24.687,0:16:28  ,0:16:28  ,34.0,--,--,9,--,--
3.15,FREESTYLE,1,25.0,00:00:27.812,0:18:33  ,0:18:33  ,39.0,--,--,11,--,--
3.16,FREESTYLE,1,25.0,00:00:23.125,0:15:25  ,0:15:25  ,31.0,--,--,8,--,--
REST,,,0.0,00:01:15.352,--,--,0.0,--,--,--,9.0,--
4,DRILL,4,100.0,00:03:04.789,--,--,0.0,--,--,--,8.75,--
4.1,DRILL,1,25.0,00:00:46.197,--,--,--,--,--,0,--,--
4.2,DRILL,1,25.0,00:00:46.197,--,--,--,--,--,0,--,--
4.3,DRILL,1,25.0,00:00:46.197,--,--,--,--,--,0,--,--
4.4,DRILL,1,25.0,00:00:46.197,--,--,--,--,--,0,--,--
REST,,,0.0,00:01:01.711,--,--,0.0,--,--,--,8.75,--
5,FREESTYLE,20,500.0,00:09:57.617,0:19:54  ,0:16:38  ,40.0,--,--,212,10.0,100
5.1,FREESTYLE,1,25.0,00:00:31.250,0:20:49  ,0:20:49  ,41.0,--,--,10,--,--
5.2,FREESTYLE,1,25.0,00:00:30.125,0:20:06  ,0:20:06  ,40.0,--,--,10,--,--
5.3,FREESTYLE,1,25.0,00:00:24.937,0:16:38  ,0:16:38  ,33.0,--,--,8,--,--
5.4,FREESTYLE,1,25.0,00:00:31.375,0:20:56  ,0:20:56  ,43.0,--,--,12,--,--
5.5,FREESTYLE,1,25.0,00:00:27.812,0:18:33  ,0:18:33  ,38.0,--,--,10,--,--
5.6,FREESTYLE,1,25.0,00:00:31.812,0:21:13  ,0:21:13  ,44.0,--,--,12,--,--
5.7,FREESTYLE,1,25.0,00:00:27.437,0:18:17  ,0:18:17  ,37.0,--,--,10,--,--
5.8,FREESTYLE,1,25.0,00:00:30.562,0:20:22  ,0:20:22  ,42.0,--,--,11,--,--
5.9,FREESTYLE,1,25.0,00:00:33.00,0:22:01  ,0:22:01  ,45.0,--,--,12,--,--
5.10,FREESTYLE,1,25.0,00:00:29.687,0:19:47  ,0:19:47  ,41.0,--,--,11,--,--
5.11,FREESTYLE,1,25.0,00:00:29.500,0:19:40  ,0:19:40  ,41.0,--,--,11,--,--
5.12,FREESTYLE,1,25.0,00:00:28.250,0:18:51  ,0:18:51  ,38.0,--,--,10,--,--
5.13,FREESTYLE,1,25.0,00:00:32.00,0:21:20  ,0:21:20  ,43.0,--,--,11,--,--
5.14,FREESTYLE,1,25.0,00:00:28.312,0:18:52  ,0:18:52  ,38.0,--,--,10,--,--
5.15,FREESTYLE,1,25.0,00:00:30.250,0:20:10  ,0:20:10  ,40.0,--,--,10,--,--
5.16,FREESTYLE,1,25.0,00:00:32.375,0:21:35  ,0:21:35  ,43.0,--,--,11,--,--
5.17,FREESTYLE,1,25.0,00:00:28.625,0:19:05  ,0:19:05  ,40.0,--,--,11,--,--
5.18,FREESTYLE,1,25.0,00:00:31.562,0:21:02  ,0:21:02  ,43.0,--,--,11,--,--
5.19,FREESTYLE,1,25.0,00:00:33.687,0:22:27  ,0:22:27  ,46.0,--,--,12,--,--
5.20,FREESTYLE,1,25.0,00:00:25.62,0:16:43  ,0:16:43  ,34.0,--,--,9,--,--
REST,,,0.0,00:00:58.195,--,--,0.0,--,--,--,8.925925925925926,--
6,DRILL,4,100.0,00:03:11.953,--,--,0.0,--,--,--,8.839285714285714,--
6.1,DRILL,1,25.0,00:00:47.988,--,--,--,--,--,0,--,--
6.2,DRILL,1,25.0,00:00:47.988,--,--,--,--,--,0,--,--
6.3,DRILL,1,25.0,00:00:47.988,--,--,--,--,--,0,--,--
6.4,DRILL,1,25.0,00:00:47.988,--,--,--,--,--,0,--,--
REST,,,0.0,00:00:32.171,--,--,0.0,--,--,--,8.839285714285714,--
7,BREASTSTROKE,4,100.0,00:02:22.211,0:23:42  ,0:20:30  ,49.0,--,--,56,14.0,29
7.1,BREASTSTROKE,1,25.0,00:00:30.750,0:20:30  ,0:20:30  ,44.0,--,--,13,--,--
7.2,BREASTSTROKE,1,25.0,00:00:35.562,0:23:44  ,0:23:44  ,51.0,--,--,15,--,--
7.3,BREASTSTROKE,1,25.0,00:00:37.250,0:24:50  ,0:24:50  ,51.0,--,--,14,--,--
7.4,BREASTSTROKE,1,25.0,00:00:38.687,0:25:47  ,0:25:47  ,53.0,--,--,14,--,--
Summary,,59,1475.0,00:38:53.875,0:20:28  ,0:13:47  ,42.0,--,--,538,11.399999618530273,268
