Split,Swim Stroke,Lengths,Distance,Time,Avg Pace,Best Pace,Avg SWOLF,Avg Power,Max Power,Total Strokes,Avg Strokes,Calories
1,MIXED,8,200.0,00:04:24.820,0:22:01  ,0:16:40  ,44.0,--,--,92,11.0,48
1.1,BREASTSTROKE,1,25.0,00:00:37.750,0:25:10  ,0:25:10  ,52.0,--,--,14,--,--
1.2,BREASTSTROKE,1,25.0,00:00:34.250,0:22:51  ,0:22:51  ,47.0,--,--,13,--,--
1.3,FREESTYLE,1,25.0,00:00:39.562,0:26:24  ,0:26:24  ,51.0,--,--,11,--,--
1.4,FREESTYLE,1,25.0,00:00:26.875,0:17:55  ,0:17:55  ,35.0,--,--,8,--,--
1.5,BREASTSTROKE,1,25.0,00:00:40.187,0:26:47  ,0:26:47  ,56.0,--,--,16,--,--
1.6,BREASTSTROKE,1,25.0,00:00:32.125,0:21:25  ,0:21:25  ,45.0,--,--,13,--,--
1.7,FREESTYLE,1,25.0,00:00:28.625,0:19:05  ,0:19:05  ,39.0,--,--,10,--,--
1.8,FREESTYLE,1,25.0,00:00:25.00,0:16:40  ,0:16:40  ,32.0,--,--,7,--,--
REST,,,0.0,00:00:37.86,--,--,0.0,--,--,--,8.363636363636363,--
2,DRILL,4,100.0,00:03:08.984,--,--,0.0,--,--,--,7.6923076923076925,--
2.1,DRILL,1,25.0,00:00:47.246,--,--,--,--,--,0,--,--
2.2,DRILL,1,25.0,00:00:47.246,--,--,--,--,--,0,--,--
2.3,DRILL,1,25.0,00:00:47.246,--,--,--,--,--,0,--,--
2.4,DRILL,1,25.0,00:00:47.246,--,--,--,--,--,0,--,--
REST,,,0.0,00:01:06.766,--,--,0.0,--,--,--,7.6923076923076925,--
3,MIXED,16,400.0,00:07:37.172,0:19:02  ,0:14:40  ,39.0,--,--,182,11.0,92
3.1,FREESTYLE,1,25.0,00:00:24.812,0:16:33  ,0:16:33  ,33.0,--,--,8,--,--
3.2,FREESTYLE,1,25.0,00:00:31.687,0:21:09  ,0:21:09  ,43.0,--,--,11,--,--
3.3,FREESTYLE,1,25.0,00:00:23.375,0:15:35  ,0:15:35  ,31.0,--,--,8,--,--
3.4,FREESTYLE,1,25.0,00:00:27.687,0:18:28  ,0:18:28  ,37.0,--,--,9,--,--
3.5,BREASTSTROKE,1,25.0,00:00:34.125,0:22:46  ,0:22:46  ,49.0,--,--,15,--,--
3.6,BREASTSTROKE,1,25.0,00:00:26.00,0:17:20  ,0:17:20  ,38.0,--,--,12,--,--
3.7,BREASTSTROKE,1,25.0,00:00:35.625,0:23:46  ,0:23:46  ,52.0,--,--,16,--,--
3.8,FREESTYLE,1,25.0,00:00:24.562,0:16:23  ,0:16:23  ,37.0,--,--,12,--,--
3.9,BACKSTROKE,1,25.0,00:00:35.250,0:23:30  ,0:23:30  ,49.0,--,--,14,--,--
3.10,BACKSTROKE,1,25.0,00:00:31.937,0:21:18  ,0:21:18  ,45.0,--,--,13,--,--
3.11,BACKSTROKE,1,25.0,00:00:29.00,0:19:20  ,0:19:20  ,41.0,--,--,12,--,--
3.12,BACKSTROKE,1,25.0,00:00:32.125,0:21:25  ,0:21:25  ,45.0,--,--,13,--,--
3.13,FREESTYLE,1,25.0,00:00:25.00,0:16:40  ,0:16:40  ,34.0,--,--,9,--,--
