Split,Swim Stroke,Lengths,Distance,Time,Avg Pace,Best Pace,Avg SWOLF,Avg Power,Max Power,Total Strokes,Avg Strokes,Calories
1,MIXED,8,200.0,00:04:14.414,0:21:09  ,0:12:57  ,44.0,--,--,103,12.0,49
1.1,BREASTSTROKE,1,25.0,00:00:33.812,0:22:33  ,0:22:33  ,48.0,--,--,14,--,--
1.2,BREASTSTROKE,1,25.0,00:00:31.187,0:20:48  ,0:20:48  ,45.0,--,--,14,--,--
1.3,FREESTYLE,1,25.0,00:00:32.186,0:21:28  ,0:21:28  ,43.0,--,--,11,--,--
1.4,FREESTYLE,1,25.0,00:00:31.62,0:20:43  ,0:20:43  ,41.0,--,--,10,--,--
1.5,BREASTSTROKE,1,25.0,00:00:39.125,0:26:07  ,0:26:07  ,57.0,--,--,18,--,--
1.6,BREASTSTROKE,1,25.0,00:00:37.250,0:24:50  ,0:24:50  ,55.0,--,--,18,--,--
1.7,FREESTYLE,1,25.0,00:00:19.437,0:12:57  ,0:12:57  ,27.0,--,--,8,--,--
1.8,FREESTYLE,1,25.0,00:00:29.812,0:19:53  ,0:19:53  ,40.0,--,--,10,--,--
REST,,,0.0,00:00:43.883,--,--,0.0,--,--,--,9.363636363636363,--
2,DRILL,4,100.0,00:02:52.445,--,--,0.0,--,--,--,8.692307692307692,--
2.1,DRILL,1,25.0,00:00:43.111,--,--,--,--,--,0,--,--
2.2,DRILL,1,25.0,00:00:43.111,--,--,--,--,--,0,--,--
2.3,DRILL,1,25.0,00:00:43.111,--,--,--,--,--,0,--,--
2.4,DRILL,1,25.0,00:00:43.111,--,--,--,--,--,0,--,--
REST,,,0.0,00:00:52.242,--,--,0.0,--,--,--,8.692307692307692,--
3,FREESTYLE,3,75.0,00:01:58.750,0:26:22  ,0:18:15  ,54.0,--,--,44,14.0,15
3.1,FREESTYLE,1,25.0,00:00:27.375,0:18:15  ,0:18:15  ,37.0,--,--,10,--,--
3.2,FREESTYLE,1,25.0,00:00:50.312,0:33:36  ,0:33:36  ,69.0,--,--,19,--,--
3.3,FREESTYLE,1,25.0,00:00:41.62,0:27:24  ,0:27:24  ,56.0,--,--,15,--,--
REST,,,0.0,00:00:11.375,--,--,0.0,--,--,--,9.875,--
4,MIXED,16,400.0,00:08:32.633,0:21:22  ,0:16:20  ,45.0,--,--,217,13.0,100
4.1,FREESTYLE,1,25.0,00:00:29.625,0:19:46  ,0:19:46  ,41.0,--,--,11,--,--
4.2,FREESTYLE,1,25.0,00:00:28.312,0:18:52  ,0:18:52  ,40.0,--,--,12,--,--
4.3,BREASTSTROKE,1,25.0,00:00:27.250,0:18:10  ,0:18:10  ,41.0,--,--,14,--,--
4.4,BREASTSTROKE,1,25.0,00:00:30.750,0:20:30  ,0:20:30  ,46.0,--,--,15,--,--
4.5,BREASTSTROKE,1,25.0,00:00:32.250,0:21:30  ,0:21:30  ,48.0,--,--,16,--,--
4.6,BREASTSTROKE,1,25.0,00:00:38.750,0:25:50  ,0:25:50  ,56.0,--,--,17,--,--
4.7,FREESTYLE,1,25.0,00:00:25.875,0:17:15  ,0:17:15  ,35.0,--,--,9,--,--
4.8,FREESTYLE,1,25.0,00:00:32.500,0:21:40  ,0:21:40  ,45.0,--,--,12,--,--
4.9,FREESTYLE,1,25.0,00:00:24.500,0:16:20  ,0:16:20  ,34.0,--,--,9,--,--
4.10,FREESTYLE,1,25.0,00:00:37.500,0:25:01  ,0:25:01  ,53.0,--,--,15,--,--
4.11,BREASTSTROKE,1,25.0,00:00:31.500,0:21:01  ,0:21:01  ,47.0,--,--,15,--,--
4.12,BREASTSTROKE,1,25.0,00:00:39.500,0:26:22  ,0:26:22  ,58.0,--,--,18,--,--
4.13,BREASTSTROKE,1,25.0,00:00:31.687,0:21:09  ,0:21:09  ,47.0,--,--,15,--,--
4.14,BREASTSTROKE,1,25.0,00:00:34.500,0:23:01  ,0:23:01  ,51.0,--,--,16,--,--
4.15,FREESTYLE,1,25.0,00:00:35.625,0:23:46  ,0:23:46  ,48.0,--,--,12,--,--
4.16,FREESTYLE,1,25.0,00:00:32.561,0:21:43  ,0:21:43  ,44.0,--,--,11,--,--
REST,,,0.0,00:00:40.430,--,--,0.0,--,--,--,11.84375,--
5,MIXED,8,200.0,00:04:36.828,0:23:03  ,0:19:13  ,48.0,--,--,108,13.0,48
5.1,BREASTSTROKE,1,25.0,00:00:31.875,0:21:15  ,0:21:15  ,47.0,--,--,15,--,--
5.2,BREASTSTROKE,1,25.0,00:00:40.875,0:27:16  ,0:27:16  ,59.0,--,--,18,--,--
5.3,FREESTYLE,1,25.0,00:00:28.812,0:19:13  ,0:19:13  ,39.0,--,--,10,--,--
5.4,FREESTYLE,1,25.0,00:00:31.437,0:20:57  ,0:20:57  ,42.0,--,--,11,--,--
5.5,FREESTYLE,1,25.0,00:00:30.625,0:20:25  ,0:20:25  ,41.0,--,--,10,--,--
5.6,FREESTYLE,1,25.0,00:00:34.375,0:22:55  ,0:22:55  ,46.0,--,--,12,--,--
5.7,BREASTSTROKE,1,25.0,00:00:35.00,0:23:20  ,0:23:20  ,50.0,--,--,15,--,--
5.8,BREASTSTROKE,1,25.0,00:00:43.812,0:29:14  ,0:29:14  ,61.0,--,--,17,--,--
Summary,,39,975.0,00:24:43.234,0:22:08  ,0:12:57  ,46.0,--,--,472,13.399999618530273,212
