Split,Swim Stroke,Lengths,Distance,Time,Avg Pace,Best Pace,Avg SWOLF,Avg Power,Max Power,Total Strokes,Avg Strokes,Calories
1,MIXED,8,200.0,00:04:29.508,0:22:25  ,0:18:36  ,46.0,--,--,104,13.0,49
1.1,BREASTSTROKE,1,25.0,00:00:35.687,0:23:48  ,0:23:48  ,52.0,--,--,16,--,--
1.2,BREASTSTROKE,1,25.0,00:00:40.625,0:27:06  ,0:27:06  ,58.0,--,--,17,--,--
1.3,FREESTYLE,1,25.0,00:00:33.750,0:22:31  ,0:22:31  ,45.0,--,--,11,--,--
1.4,FREESTYLE,1,25.0,00:00:34.687,0:23:08  ,0:23:08  ,47.0,--,--,12,--,--
1.5,BREASTSTROKE,1,25.0,00:00:27.875,0:18:36  ,0:18:36  ,41.0,--,--,13,--,--
1.6,BREASTSTROKE,1,25.0,00:00:35.125,0:23:26  ,0:23:26  ,50.0,--,--,15,--,--
1.7,FREESTYLE,1,25.0,00:00:30.812,0:20:33  ,0:20:33  ,41.0,--,--,10,--,--
1.8,FREESTYLE,1,25.0,00:00:30.500,0:20:21  ,0:20:21  ,41.0,--,--,10,--,--
REST,,,0.0,00:00:51.609,--,--,0.0,--,--,--,9.454545454545455,--
2,DRILL,4,100.0,00:02:46.313,--,--,0.0,--,--,--,8.692307692307692,--
2.1,DRILL,1,25.0,00:00:41.578,--,--,--,--,--,0,--,--
2.2,DRILL,1,25.0,00:00:41.578,--,--,--,--,--,0,--,--
2.3,DRILL,1,25.0,00:00:41.578,--,--,--,--,--,0,--,--
2.4,DRILL,1,25.0,00:00:41.578,--,--,--,--,--,0,--,--
REST,,,0.0,00:01:09.438,--,--,0.0,--,--,--,8.692307692307692,--
3,FREESTYLE,4,100.0,00:01:30.422,0:15:04  ,0:14:00  ,32.0,--,--,39,9.0,20
3.1,FREESTYLE,1,25.0,00:00:21.00,0:14:00  ,0:14:00  ,30.0,--,--,9,--,--
3.2,FREESTYLE,1,25.0,00:00:23.187,0:15:27  ,0:15:27  ,33.0,--,--,10,--,--
3.3,FREESTYLE,1,25.0,00:00:22.500,0:15:00  ,0:15:00  ,33.0,--,--,10,--,--
3.4,FREESTYLE,1,25.0,00:00:23.812,0:15:53  ,0:15:53  ,34.0,--,--,10,--,--
REST,,,0.0,00:01:12.453,--,--,0.0,--,--,--,9.294117647058824,--
4,BREASTSTROKE,4,100.0,00:02:17.570,0:22:55  ,0:21:23  ,50.0,--,--,62,15.0,28
4.1,BREASTSTROKE,1,25.0,00:00:32.61,0:21:23  ,0:21:23  ,47.0,--,--,15,--,--
4.2,BREASTSTROKE,1,25.0,00:00:37.62,0:24:43  ,0:24:43  ,54.0,--,--,17,--,--
4.3,BREASTSTROKE,1,25.0,00:00:34.812,0:23:12  ,0:23:12  ,51.0,--,--,16,--,--
4.4,BREASTSTROKE,1,25.0,00:00:33.625,0:22:25  ,0:22:25  ,48.0,--,--,14,--,--
REST,,,0.0,00:00:45.867,--,--,0.0,--,--,--,10.19047619047619,--
5,MIXED,28,700.0,00:14:50.16,0:21:12  ,0:17:07  ,44.0,--,--,344,12.0,164
5.1,FREESTYLE,1,25.0,00:00:27.562,0:18:22  ,0:18:22  ,37.0,--,--,9,--,--
5.2,FREESTYLE,1,25.0,00:00:30.437,0:20:18  ,0:20:18  ,40.0,--,--,10,--,--
5.3,FREESTYLE,1,25.0,00:00:32.625,0:21:45  ,0:21:45  ,44.0,--,--,11,--,--
5.4,FREESTYLE,1,25.0,00:00:28.250,0:18:51  ,0:18:51  ,37.0,--,--,9,--,--
5.5,FREESTYLE,1,25.0,00:00:31.937,0:21:18  ,0:21:18  ,43.0,--,--,11,--,--
5.6,FREESTYLE,1,25.0,00:00:27.250,0:18:10  ,0:18:10  ,36.0,--,--,9,--,--
5.7,FREESTYLE,1,25.0,00:00:36.812,0:24:32  ,0:24:32  ,49.0,--,--,12,--,--
5.8,FREESTYLE,1,25.0,00:00:26.937,0:17:57  ,0:17:57  ,36.0,--,--,9,--,--
5.9,BREASTSTROKE,1,25.0,00:00:37.750,0:25:10  ,0:25:10  ,56.0,--,--,18,--,--
5.10,BREASTSTROKE,1,25.0,00:00:28.00,0:18:41  ,0:18:41  ,42.0,--,--,14,--,--
5.11,BREASTSTROKE,1,25.0,00:00:31.312,0:20:53  ,0:20:53  ,46.0,--,--,15,--,--
5.12,BREASTSTROKE,1,25.0,00:00:34.00,0:22:40  ,0:22:40  ,50.0,--,--,16,--,--
5.13,BACKSTROKE,1,25.0,00:00:37.250,0:24:50  ,0:24:50  ,50.0,--,--,13,--,--
5.14,BACKSTROKE,1,25.0,00:00:35.312,0:23:34  ,0:23:34  ,49.0,--,--,14,--,--
5.15,BACKSTROKE,1,25.0,00:00:29.812,0:19:53  ,0:19:53  ,40.0,--,--,10,--,--
5.16,BACKSTROKE,1,25.0,00:00:28.562,0:19:02  ,0:19:02  ,39.0,--,--,10,--,--
5.17,BREASTSTROKE,1,25.0,00:00:48.62,0:32:03  ,0:32:03  ,70.0,--,--,22,--,--
5.18,BREASTSTROKE,1,25.0,00:00:33.625,0:22:25  ,0:22:25  ,50.0,--,--,16,--,--
5.19,BREASTSTROKE,1,25.0,00:00:32.61,0:21:23  ,0:21:23  ,47.0,--,--,15,--,--
5.20,BREASTSTROKE,1,25.0,00:00:31.187,0:20:48  ,0:20:48  ,46.0,--,--,15,--,--
5.21,FREESTYLE,1,25.0,00:00:34.187,0:22:47  ,0:22:47  ,47.0,--,--,13,--,--
5.22,FREESTYLE,1,25.0,00:00:27.687,0:18:28  ,0:18:28  ,38.0,--,--,10,--,--
5.23,FREESTYLE,1,25.0,00:00:30.250,0:20:10  ,0:20:10  ,41.0,--,--,11,--,--
5.24,FREESTYLE,1,25.0,00:00:33.875,0:22:35  ,0:22:35  ,46.0,--,--,12,--,--
5.25,FREESTYLE,1,25.0,00:00:25.687,0:17:07  ,0:17:07  ,35.0,--,--,9,--,--
5.26,FREESTYLE,1,25.0,00:00:32.561,0:21:43  ,0:21:43  ,45.0,--,--,12,--,--
5.27,FREESTYLE,1,25.0,00:00:27.00,0:18:01  ,0:18:01  ,36.0,--,--,9,--,--
5.28,FREESTYLE,1,25.0,00:00:30.62,0:20:03  ,0:20:03  ,40.0,--,--,10,--,--
REST,,,0.0,00:01:09.984,--,--,0.0,--,--,--,10.764705882352942,--
6,DRILL,4,100.0,00:02:45.477,--,--,0.0,--,--,--,10.528301886792454,--
6.1,DRILL,1,25.0,00:00:41.369,--,--,--,--,--,0,--,--
6.2,DRILL,1,25.0,00:00:41.369,--,--,--,--,--,0,--,--
6.3,DRILL,1,25.0,00:00:41.369,--,--,--,--,--,0,--,--
6.4,DRILL,1,25.0,00:00:41.369,--,--,--,--,--,0,--,--
REST,,,0.0,00:00:32.86,--,--,0.0,--,--,--,10.528301886792454,--
7,MIXED,8,200.0,00:04:23.320,0:21:57  ,0:18:31  ,45.0,--,--,103,12.0,49
7.1,FREESTYLE,1,25.0,00:00:27.750,0:18:31  ,0:18:31  ,37.0,--,--,9,--,--
7.2,FREESTYLE,1,25.0,00:00:29.625,0:19:46  ,0:19:46  ,40.0,--,--,10,--,--
7.3,BREASTSTROKE,1,25.0,00:00:32.186,0:21:28  ,0:21:28  ,47.0,--,--,15,--,--
7.4,BREASTSTROKE,1,25.0,00:00:31.312,0:20:53  ,0:20:53  ,46.0,--,--,15,--,--
7.5,FREESTYLE,1,25.0,00:00:36.562,0:24:24  ,0:24:24  ,49.0,--,--,12,--,--
7.6,FREESTYLE,1,25.0,00:00:35.875,0:23:56  ,0:23:56  ,48.0,--,--,12,--,--
7.7,BREASTSTROKE,1,25.0,00:00:32.812,0:21:54  ,0:21:54  ,48.0,--,--,15,--,--
7.8,BREASTSTROKE,1,25.0,00:00:37.250,0:24:50  ,0:24:50  ,52.0,--,--,15,--,--
Summary,,60,1500.0,00:38:44.273,0:21:09  ,0:14:00  ,44.0,--,--,652,12.5,310
