Split,Swim Stroke,Lengths,Distance,Time,Avg Pace,Best Pace,Avg SWOLF,Avg Power,Max Power,Total Strokes,Avg Strokes,Calories
1,MIXED,8,200.0,00:04:18.898,0:21:31  ,0:16:40  ,43.0,--,--,91,11.0,48
1.1,BREASTSTROKE,1,25.0,00:00:38.875,0:25:55  ,0:25:55  ,52.0,--,--,13,--,--
1.2,BREASTSTROKE,1,25.0,00:00:37.562,0:25:03  ,0:25:03  ,54.0,--,--,16,--,--
1.3,FREESTYLE,1,25.0,00:00:33.312,0:22:13  ,0:22:13  ,43.0,--,--,10,--,--
1.4,FREESTYLE,1,25.0,00:00:25.375,0:16:55  ,0:16:55  ,33.0,--,--,8,--,--
1.5,BREASTSTROKE,1,25.0,00:00:33.562,0:22:24  ,0:22:24  ,46.0,--,--,12,--,--
1.6,BREASTSTROKE,1,25.0,00:00:37.625,0:25:06  ,0:25:06  ,53.0,--,--,15,--,--
1.7,FREESTYLE,1,25.0,00:00:27.187,0:18:08  ,0:18:08  ,37.0,--,--,10,--,--
1.8,FREESTYLE,1,25.0,00:00:25.00,0:16:40  ,0:16:40  ,32.0,--,--,7,--,--
REST,,,0.0,00:00:32.320,--,--,0.0,--,--,--,8.272727272727273,--
2,DRILL,4,100.0,00:04:12.656,--,--,0.0,--,--,--,7.769230769230769,--
2.1,DRILL,1,25.0,00:01:03.164,--,--,--,--,--,0,--,--
2.2,DRILL,1,25.0,00:01:03.164,--,--,--,--,--,0,--,--
2.3,DRILL,1,25.0,00:01:03.164,--,--,--,--,--,0,--,--
2.4,DRILL,1,25.0,00:01:03.164,--,--,--,--,--,0,--,--
REST,,,0.0,00:00:35.344,--,--,0.0,--,--,--,7.769230769230769,--
3,MIXED,16,400.0,00:07:52.766,0:19:42  ,0:15:38  ,41.0,--,--,187,11.0,94
3.1,FREESTYLE,1,25.0,00:00:32.436,0:21:38  ,0:21:38  ,42.0,--,--,10,--,--
3.2,FREESTYLE,1,25.0,00:00:26.875,0:17:55  ,0:17:55  ,36.0,--,--,9,--,--
3.3,FREESTYLE,1,25.0,00:00:23.437,0:15:38  ,0:15:38  ,31.0,--,--,8,--,--
3.4,FREESTYLE,1,25.0,00:00:33.437,0:22:18  ,0:22:18  ,45.0,--,--,12,--,--
3.5,FREESTYLE,1,25.0,00:00:25.875,0:17:15  ,0:17:15  ,38.0,--,--,12,--,--
3.6,BREASTSTROKE,1,25.0,00:00:26.62,0:17:22  ,0:17:22  ,38.0,--,--,12,--,--
3.7,BREASTSTROKE,1,25.0,00:00:34.62,0:22:44  ,0:22:44  ,50.0,--,--,16,--,--
3.8,BREASTSTROKE,1,25.0,00:00:24.750,0:16:30  ,0:16:30  ,38.0,--,--,13,--,--
3.9,BACKSTROKE,1,25.0,00:00:36.687,0:24:28  ,0:24:28  ,51.0,--,--,14,--,--
3.10,BACKSTROKE,1,25.0,00:00:32.375,0:21:35  ,0:21:35  ,45.0,--,--,13,--,--
3.11,BACKSTROKE,1,25.0,00:00:35.00,0:23:20  ,0:23:20  ,48.0,--,--,13,--,--
3.12,BACKSTROKE,1,25.0,00:00:32.375,0:21:35  ,0:21:35  ,46.0,--,--,14,--,--
3.13,FREESTYLE,1,25.0,00:00:26.687,0:17:48  ,0:17:48  ,37.0,--,--,10,--,--
3.14,FREESTYLE,1,25.0,00:00:28.437,0:18:57  ,0:18:57  ,38.0,--,--,10,--,--
3.15,FREESTYLE,1,25.0,00:00:29.437,0:19:37  ,0:19:37  ,40.0,--,--,11,--,--
3.16,FREESTYLE,1,25.0,00:00:24.875,0:16:35  ,0:16:35  ,35.0,--,--,10,--,--
REST,,,0.0,00:01:01.47,--,--,0.0,--,--,--,8.96774193548387,--
4,DRILL,4,100.0,00:03:46.219,--,--,0.0,--,--,--,8.696969696969697,--
4.1,DRILL,1,25.0,00:00:56.554,--,--,--,--,--,0,--,--
4.2,DRILL,1,25.0,00:00:56.554,--,--,--,--,--,0,--,--
4.3,DRILL,1,25.0,00:00:56.554,--,--,--,--,--,0,--,--
4.4,DRILL,1,25.0,00:00:56.554,--,--,--,--,--,0,--,--
REST,,,0.0,00:00:18.94,--,--,0.0,--,--,--,8.696969696969697,--
5,MIXED,8,200.0,00:04:16.976,0:21:25  ,0:18:31  ,44.0,--,--,102,12.0,48
5.1,FREESTYLE,1,25.0,00:00:27.750,0:18:31  ,0:18:31  ,37.0,--,--,9,--,--
5.2,FREESTYLE,1,25.0,00:00:29.437,0:19:37  ,0:19:37  ,39.0,--,--,10,--,--
5.3,BREASTSTROKE,1,25.0,00:00:32.875,0:21:55  ,0:21:55  ,48.0,--,--,15,--,--
5.4,BREASTSTROKE,1,25.0,00:00:33.500,0:22:20  ,0:22:20  ,49.0,--,--,15,--,--
5.5,FREESTYLE,1,25.0,00:00:32.00,0:21:20  ,0:21:20  ,45.0,--,--,13,--,--
5.6,FREESTYLE,1,25.0,00:00:28.62,0:18:43  ,0:18:43  ,38.0,--,--,10,--,--
5.7,BREASTSTROKE,1,25.0,00:00:35.62,0:23:22  ,0:23:22  ,50.0,--,--,15,--,--
5.8,BREASTSTROKE,1,25.0,00:00:38.312,0:25:33  ,0:25:33  ,53.0,--,--,15,--,--
Summary,,40,1000.0,00:26:54.531,0:20:36  ,0:15:38  ,42.0,--,--,380,11.800000190734863,190
