Split,Swim Stroke,Lengths,Distance,Time,Avg Pace,Best Pace,Avg SWOLF,Avg Power,Max Power,Total Strokes,Avg Strokes,Calories
1,MIXED,7,175.0,00:04:29.633,0:22:38  ,0:20:03  ,48.0,--,--,98,14.0,43
1.1,BREASTSTROKE,1,25.0,00:00:37.750,0:25:10  ,0:25:10  ,57.0,--,--,19,--,--
1.2,FREESTYLE,1,25.0,00:00:31.00,0:20:40  ,0:20:40  ,41.0,--,--,10,--,--
1.3,BREASTSTROKE,1,25.0,00:00:35.437,0:23:38  ,0:23:38  ,52.0,--,--,17,--,--
1.4,FREESTYLE,1,25.0,00:00:31.500,0:21:01  ,0:21:01  ,42.0,--,--,10,--,--
1.5,BREASTSTROKE,1,25.0,00:00:33.250,0:22:11  ,0:22:11  ,48.0,--,--,15,--,--
1.6,BREASTSTROKE,1,25.0,00:00:38.687,0:25:47  ,0:25:47  ,55.0,--,--,16,--,--
1.7,FREESTYLE,1,25.0,00:00:30.62,0:20:03  ,0:20:03  ,41.0,--,--,11,--,--
REST,,,0.0,00:00:31.953,--,--,0.0,--,--,--,9.8,--
2,DRILL,4,100.0,00:03:01.734,--,--,0.0,--,--,--,9.0,--
2.1,DRILL,1,25.0,00:00:45.433,--,--,--,--,--,0,--,--
2.2,DRILL,1,25.0,00:00:45.433,--,--,--,--,--,0,--,--
2.3,DRILL,1,25.0,00:00:45.433,--,--,--,--,--,0,--,--
2.4,DRILL,1,25.0,00:00:45.433,--,--,--,--,--,0,--,--
REST,,,0.0,00:00:58.16,--,--,0.0,--,--,--,9.0,--
3,FREESTYLE,40,1000.0,00:20:07.789,0:20:07  ,0:16:30  ,40.0,--,--,429,10.0,200
3.1,FREESTYLE,1,25.0,00:00:30.937,0:20:37  ,0:20:37  ,41.0,--,--,10,--,--
3.2,FREESTYLE,1,25.0,00:00:27.62,0:18:03  ,0:18:03  ,37.0,--,--,10,--,--
3.3,FREESTYLE,1,25.0,00:00:31.00,0:20:40  ,0:20:40  ,41.0,--,--,10,--,--
3.4,FREESTYLE,1,25.0,00:00:24.750,0:16:30  ,0:16:30  ,34.0,--,--,9,--,--
3.5,FREESTYLE,1,25.0,00:00:29.125,0:19:25  ,0:19:25  ,39.0,--,--,10,--,--
3.6,FREESTYLE,1,25.0,00:00:29.500,0:19:40  ,0:19:40  ,40.0,--,--,10,--,--
3.7,FREESTYLE,1,25.0,00:00:28.812,0:19:13  ,0:19:13  ,40.0,--,--,11,--,--
3.8,FREESTYLE,1,25.0,00:00:29.00,0:19:20  ,0:19:20  ,38.0,--,--,9,--,--
3.9,FREESTYLE,1,25.0,00:00:30.00,0:20:00  ,0:20:00  ,40.0,--,--,10,--,--
3.10,FREESTYLE,1,25.0,00:00:32.375,0:21:35  ,0:21:35  ,44.0,--,--,12,--,--
3.11,FREESTYLE,1,25.0,00:00:31.687,0:21:09  ,0:21:09  ,43.0,--,--,11,--,--
3.12,FREESTYLE,1,25.0,00:00:27.812,0:18:33  ,0:18:33  ,39.0,--,--,11,--,--
3.13,FREESTYLE,1,25.0,00:00:28.250,0:18:51  ,0:18:51  ,38.0,--,--,10,--,--
3.14,FREESTYLE,1,25.0,00:00:30.187,0:20:07  ,0:20:07  ,41.0,--,--,11,--,--
3.15,FREESTYLE,1,25.0,00:00:34.250,0:22:51  ,0:22:51  ,46.0,--,--,12,--,--
3.16,FREESTYLE,1,25.0,00:00:31.00,0:20:40  ,0:20:40  ,42.0,--,--,11,--,--
3.17,FREESTYLE,1,25.0,00:00:25.625,0:17:05  ,0:17:05  ,35.0,--,--,9,--,--
3.18,FREESTYLE,1,25.0,00:00:29.375,0:19:35  ,0:19:35  ,39.0,--,--,10,--,--
3.19,FREESTYLE,1,25.0,00:00:30.500,0:20:21  ,0:20:21  ,41.0,--,--,10,--,--
3.20,FREESTYLE,1,25.0,00:00:33.625,0:22:25  ,0:22:25  ,46.0,--,--,12,--,--
3.21,FREESTYLE,1,25.0,00:00:30.687,0:20:28  ,0:20:28  ,42.0,--,--,11,--,--
3.22,FREESTYLE,1,25.0,00:00:31.437,0:20:57  ,0:20:57  ,42.0,--,--,11,--,--
3.23,FREESTYLE,1,25.0,00:00:28.500,0:19:00  ,0:19:00  ,38.0,--,--,9,--,--
3.24,FREESTYLE,1,25.0,00:00:33.562,0:22:24  ,0:22:24  ,47.0,--,--,13,--,--
3.25,FREESTYLE,1,25.0,00:00:27.437,0:18:17  ,0:18:17  ,37.0,--,--,10,--,--
3.26,FREESTYLE,1,25.0,00:00:33.937,0:22:38  ,0:22:38  ,46.0,--,--,12,--,--
3.27,FREESTYLE,1,25.0,00:00:31.750,0:21:10  ,0:21:10  ,43.0,--,--,11,--,--
3.28,FREESTYLE,1,25.0,00:00:31.562,0:21:02  ,0:21:02  ,43.0,--,--,11,--,--
3.29,FREESTYLE,1,25.0,00:00:31.937,0:21:18  ,0:21:18  ,43.0,--,--,11,--,--
3.30,FREESTYLE,1,25.0,00:00:33.00,0:22:01  ,0:22:01  ,44.0,--,--,11,--,--
3.31,FREESTYLE,1,25.0,00:00:28.312,0:18:52  ,0:18:52  ,38.0,--,--,10,--,--
3.32,FREESTYLE,1,25.0,00:00:34.562,0:23:03  ,0:23:03  ,48.0,--,--,13,--,--
3.33,FREESTYLE,1,25.0,00:00:27.937,0:18:38  ,0:18:38  ,39.0,--,--,11,--,--
3.34,FREESTYLE,1,25.0,00:00:29.250,0:19:30  ,0:19:30  ,39.0,--,--,10,--,--
3.35,FREESTYLE,1,25.0,00:00:34.250,0:22:51  ,0:22:51  ,47.0,--,--,13,--,--
3.36,FREESTYLE,1,25.0,00:00:29.625,0:19:46  ,0:19:46  ,41.0,--,--,11,--,--
3.37,FREESTYLE,1,25.0,00:00:29.312,0:19:33  ,0:19:33  ,40.0,--,--,11,--,--
3.38,FREESTYLE,1,25.0,00:00:28.937,0:19:18  ,0:19:18  ,40.0,--,--,11,--,--
3.39,FREESTYLE,1,25.0,00:00:29.62,0:19:22  ,0:19:22  ,40.0,--,--,11,--,--
3.40,FREESTYLE,1,25.0,00:00:27.812,0:18:33  ,0:18:33  ,38.0,--,--,10,--,--
REST,,,0.0,00:00:54.586,--,--,0.0,--,--,--,9.75925925925926,--
4,DRILL,4,100.0,00:02:55.734,--,--,0.0,--,--,--,9.696428571428571,--
4.1,DRILL,1,25.0,00:00:43.933,--,--,--,--,--,0,--,--
4.2,DRILL,1,25.0,00:00:43.933,--,--,--,--,--,0,--,--
4.3,DRILL,1,25.0,00:00:43.933,--,--,--,--,--,0,--,--
4.4,DRILL,1,25.0,00:00:43.933,--,--,--,--,--,0,--,--
REST,,,0.0,00:00:27.16,--,--,0.0,--,--,--,9.696428571428571,--
5,BREASTSTROKE,4,100.0,00:02:36.273,0:26:02  ,0:25:03  ,54.0,--,--,62,15.0,28
5.1,BREASTSTROKE,1,25.0,00:00:37.562,0:25:03  ,0:25:03  ,54.0,--,--,16,--,--
5.2,BREASTSTROKE,1,25.0,00:00:38.375,0:25:36  ,0:25:36  ,53.0,--,--,15,--,--
5.3,BREASTSTROKE,1,25.0,00:00:39.625,0:26:27  ,0:26:27  ,54.0,--,--,14,--,--
5.4,BREASTSTROKE,1,25.0,00:00:40.687,0:27:08  ,0:27:08  ,58.0,--,--,17,--,--
Summary,,59,1475.0,00:36:02.961,0:20:56  ,0:16:30  ,42.0,--,--,589,11.5,271
