Split,Swim Stroke,Lengths,Distance,Time,Avg Pace,Best Pace,Avg SWOLF,Avg Power,Max Power,Total Strokes,Avg Strokes,Calories
1,MIXED,9,225.0,00:04:32.898,0:20:12  ,0:13:22  ,40.0,--,--,88,9.0,57
1.1,FREESTYLE,1,25.0,00:00:31.00,0:20:40  ,0:20:40  ,41.0,--,--,10,--,--
1.2,FREESTYLE,1,25.0,00:00:32.311,0:21:33  ,0:21:33  ,42.0,--,--,10,--,--
1.3,FREESTYLE,1,25.0,00:00:29.875,0:19:56  ,0:19:56  ,39.0,--,--,9,--,--
1.4,FREESTYLE,1,25.0,00:00:39.250,0:26:12  ,0:26:12  ,50.0,--,--,11,--,--
1.5,BREASTSTROKE,1,25.0,00:00:25.250,0:16:50  ,0:16:50  ,35.0,--,--,10,--,--
1.6,BREASTSTROKE,1,25.0,00:00:26.687,0:17:48  ,0:17:48  ,37.0,--,--,10,--,--
1.7,BREASTSTROKE,1,25.0,00:00:20.62,0:13:22  ,0:13:22  ,27.0,--,--,7,--,--
1.8,BACKSTROKE,1,25.0,00:00:27.875,0:18:36  ,0:18:36  ,37.0,--,--,9,--,--
1.9,BACKSTROKE,1,25.0,00:00:40.312,0:26:52  ,0:26:52  ,52.0,--,--,12,--,--
REST,,,0.0,00:02:21.242,--,--,0.0,--,--,--,7.333333333333333,--
2,DRILL,4,100.0,00:02:31.320,--,--,0.0,--,--,--,5.5,--
2.1,DRILL,1,25.0,00:00:37.830,--,--,--,--,--,0,--,--
2.2,DRILL,1,25.0,00:00:37.830,--,--,--,--,--,0,--,--
2.3,DRILL,1,25.0,00:00:37.830,--,--,--,--,--,0,--,--
2.4,DRILL,1,25.0,00:00:37.830,--,--,--,--,--,0,--,--
REST,,,0.0,00:00:07.742,--,--,0.0,--,--,--,5.5,--
3,DRILL,4,100.0,00:02:56.742,--,--,0.0,--,--,--,4.4,--
3.1,DRILL,1,25.0,00:00:44.185,--,--,--,--,--,0,--,--
3.2,DRILL,1,25.0,00:00:44.185,--,--,--,--,--,0,--,--
3.3,DRILL,1,25.0,00:00:44.185,--,--,--,--,--,0,--,--
3.4,DRILL,1,25.0,00:00:44.185,--,--,--,--,--,0,--,--
REST,,,0.0,00:00:15.820,--,--,0.0,--,--,--,4.4,--
4,DRILL,4,100.0,00:02:26.695,--,--,0.0,--,--,--,4.409090909090909,--
4.1,DRILL,1,25.0,00:00:36.673,--,--,--,--,--,0,--,--
4.2,DRILL,1,25.0,00:00:36.673,--,--,--,--,--,0,--,--
4.3,DRILL,1,25.0,00:00:36.673,--,--,--,--,--,0,--,--
4.4,DRILL,1,25.0,00:00:36.673,--,--,--,--,--,0,--,--
REST,,,0.0,00:00:21.55,--,--,0.0,--,--,--,4.409090909090909,--
5,FREESTYLE,2,50.0,00:01:02.70,0:20:40  ,0:19:57  ,40.0,--,--,18,9.0,10
5.1,FREESTYLE,1,25.0,00:00:29.937,0:19:57  ,0:19:57  ,39.0,--,--,9,--,--
5.2,FREESTYLE,1,25.0,00:00:32.125,0:21:25  ,0:21:25  ,41.0,--,--,9,--,--
REST,,,0.0,00:01:05.180,--,--,0.0,--,--,--,4.833333333333333,--
6,FREESTYLE,4,100.0,00:01:31.383,0:15:14  ,0:13:18  ,32.0,--,--,39,9.0,20
6.1,FREESTYLE,1,25.0,00:00:25.937,0:17:18  ,0:17:18  ,36.0,--,--,10,--,--
6.2,FREESTYLE,1,25.0,00:00:22.625,0:15:05  ,0:15:05  ,33.0,--,--,10,--,--
6.3,FREESTYLE,1,25.0,00:00:22.875,0:15:15  ,0:15:15  ,33.0,--,--,10,--,--
6.4,FREESTYLE,1,25.0,00:00:19.937,0:13:18  ,0:13:18  ,29.0,--,--,9,--,--
REST,,,0.0,00:00:53.992,--,--,0.0,--,--,--,5.678571428571429,--
REST,,,0.0,00:00:00.922,--,--,0.0,--,--,--,5.678571428571429,--
REST,,,0.0,00:00:23.266,--,--,0.0,--,--,--,5.678571428571429,--
7,BREASTSTROKE,4,100.0,00:02:28.469,0:24:45  ,0:23:18  ,52.0,--,--,62,15.0,28
7.1,BREASTSTROKE,1,25.0,00:00:34.937,0:23:18  ,0:23:18  ,49.0,--,--,14,--,--
7.2,BREASTSTROKE,1,25.0,00:00:37.312,0:24:52  ,0:24:52  ,54.0,--,--,17,--,--
7.3,BREASTSTROKE,1,25.0,00:00:38.812,0:25:52  ,0:25:52  ,55.0,--,--,16,--,--
7.4,BREASTSTROKE,1,25.0,00:00:37.500,0:25:01  ,0:25:01  ,53.0,--,--,15,--,--
