Split,Swim Stroke,Lengths,Distance,Time,Avg Pace,Best Pace,Avg SWOLF,Avg Power,Max Power,Total Strokes,Avg Strokes,Calories
1,MIXED,8,200.0,00:04:34.719,0:22:51  ,0:18:22  ,47.0,--,--,106,13.0,50
1.1,FREESTYLE,1,25.0,00:00:27.562,0:18:22  ,0:18:22  ,37.0,--,--,9,--,--
1.2,FREESTYLE,1,25.0,00:00:45.437,0:30:18  ,0:30:18  ,62.0,--,--,17,--,--
1.3,BREASTSTROKE,1,25.0,00:00:27.562,0:18:22  ,0:18:22  ,40.0,--,--,12,--,--
1.4,BREASTSTROKE,1,25.0,00:00:37.750,0:25:10  ,0:25:10  ,54.0,--,--,16,--,--
1.5,BREASTSTROKE,1,25.0,00:00:30.875,0:20:36  ,0:20:36  ,44.0,--,--,13,--,--
1.6,BREASTSTROKE,1,25.0,00:00:37.812,0:25:12  ,0:25:12  ,54.0,--,--,16,--,--
1.7,FREESTYLE,1,25.0,00:00:34.62,0:22:44  ,0:22:44  ,47.0,--,--,13,--,--
1.8,FREESTYLE,1,25.0,00:00:33.312,0:22:13  ,0:22:13  ,43.0,--,--,10,--,--
REST,,,0.0,00:00:56.734,--,--,0.0,--,--,--,4.608695652173913,--
2,DRILL,16,400.0,00:07:37.563,--,--,0.0,--,--,--,4.56,--
2.1,DRILL,1,25.0,00:00:28.597,--,--,--,--,--,0,--,--
2.2,DRILL,1,25.0,00:00:28.597,--,--,--,--,--,0,--,--
2.3,DRILL,1,25.0,00:00:28.597,--,--,--,--,--,0,--,--
2.4,DRILL,1,25.0,00:00:28.597,--,--,--,--,--,0,--,--
2.5,DRILL,1,25.0,00:00:28.597,--,--,--,--,--,0,--,--
2.6,DRILL,1,25.0,00:00:28.597,--,--,--,--,--,0,--,--
2.7,DRILL,1,25.0,00:00:28.597,--,--,--,--,--,0,--,--
2.8,DRILL,1,25.0,00:00:28.597,--,--,--,--,--,0,--,--
2.9,DRILL,1,25.0,00:00:28.597,--,--,--,--,--,0,--,--
2.10,DRILL,1,25.0,00:00:28.597,--,--,--,--,--,0,--,--
2.11,DRILL,1,25.0,00:00:28.597,--,--,--,--,--,0,--,--
2.12,DRILL,1,25.0,00:00:28.597,--,--,--,--,--,0,--,--
2.13,DRILL,1,25.0,00:00:28.597,--,--,--,--,--,0,--,--
2.14,DRILL,1,25.0,00:00:28.597,--,--,--,--,--,0,--,--
2.15,DRILL,1,25.0,00:00:28.597,--,--,--,--,--,0,--,--
2.16,DRILL,1,25.0,00:00:28.597,--,--,--,--,--,0,--,--
REST,,,0.0,00:02:12.00,--,--,0.0,--,--,--,4.56,--
3,FREESTYLE,4,100.0,00:01:34.94,0:15:41  ,0:13:27  ,32.0,--,--,35,8.0,20
3.1,FREESTYLE,1,25.0,00:00:22.500,0:15:00  ,0:15:00  ,31.0,--,--,8,--,--
3.2,FREESTYLE,1,25.0,00:00:27.875,0:18:36  ,0:18:36  ,39.0,--,--,11,--,--
3.3,FREESTYLE,1,25.0,00:00:20.187,0:13:27  ,0:13:27  ,28.0,--,--,8,--,--
3.4,FREESTYLE,1,25.0,00:00:23.625,0:15:45  ,0:15:45  ,32.0,--,--,8,--,--
REST,,,0.0,00:00:44.594,--,--,0.0,--,--,--,5.344827586206897,--
4,BREASTSTROKE,4,100.0,00:02:26.109,0:24:21  ,0:23:12  ,51.0,--,--,60,15.0,28
4.1,BREASTSTROKE,1,25.0,00:00:34.812,0:23:12  ,0:23:12  ,49.0,--,--,14,--,--
4.2,BREASTSTROKE,1,25.0,00:00:35.437,0:23:38  ,0:23:38  ,50.0,--,--,15,--,--
4.3,BREASTSTROKE,1,25.0,00:00:39.812,0:26:34  ,0:26:34  ,57.0,--,--,17,--,--
4.4,BREASTSTROKE,1,25.0,00:00:36.62,0:24:03  ,0:24:03  ,50.0,--,--,14,--,--
REST,,,0.0,00:01:46.703,--,--,0.0,--,--,--,6.363636363636363,--
5,FREESTYLE,4,100.0,00:01:31.594,0:15:16  ,0:14:20  ,33.0,--,--,40,10.0,20
5.1,FREESTYLE,1,25.0,00:00:21.500,0:14:20  ,0:14:20  ,31.0,--,--,9,--,--
5.2,FREESTYLE,1,25.0,00:00:22.937,0:15:18  ,0:15:18  ,33.0,--,--,10,--,--
5.3,FREESTYLE,1,25.0,00:00:23.375,0:15:35  ,0:15:35  ,34.0,--,--,11,--,--
5.4,FREESTYLE,1,25.0,00:00:23.875,0:15:55  ,0:15:55  ,34.0,--,--,10,--,--
REST,,,0.0,00:00:51.469,--,--,0.0,--,--,--,6.972972972972973,--
6,BREASTSTROKE,4,100.0,00:02:25.539,0:24:15  ,0:22:11  ,52.0,--,--,64,16.0,28
6.1,BREASTSTROKE,1,25.0,00:00:36.125,0:24:05  ,0:24:05  ,53.0,--,--,17,--,--
6.2,BREASTSTROKE,1,25.0,00:00:33.250,0:22:11  ,0:22:11  ,48.0,--,--,15,--,--
6.3,BREASTSTROKE,1,25.0,00:00:38.437,0:25:38  ,0:25:38  ,55.0,--,--,17,--,--
6.4,BREASTSTROKE,1,25.0,00:00:37.750,0:25:10  ,0:25:10  ,53.0,--,--,15,--,--
REST,,,0.0,00:00:27.523,--,--,0.0,--,--,--,7.682926829268292,--
7,FREESTYLE,32,800.0,00:15:47.711,0:19:44  ,0:12:50  ,40.0,--,--,333,10.0,160
7.1,FREESTYLE,1,25.0,00:00:28.937,0:19:18  ,0:19:18  ,39.0,--,--,10,--,--
7.2,FREESTYLE,1,25.0,00:00:31.500,0:21:01  ,0:21:01  ,42.0,--,--,10,--,--
