Split,Swim Stroke,Lengths,Distance,Time,Avg Pace,Best Pace,Avg SWOLF,Avg Power,Max Power,Total Strokes,Avg Strokes,Calories
1,MIXED,9,225.0,00:04:30.23,0:19:57  ,0:10:10  ,40.0,--,--,97,10.0,58
1.1,BREASTSTROKE,1,25.0,00:00:18.250,0:12:10  ,0:12:10  ,25.0,--,--,7,--,--
1.2,BREASTSTROKE,1,25.0,00:00:15.250,0:10:10  ,0:10:10  ,21.0,--,--,6,--,--
1.3,BREASTSTROKE,1,25.0,00:00:37.187,0:24:48  ,0:24:48  ,53.0,--,--,16,--,--
1.4,BREASTSTROKE,1,25.0,00:00:33.125,0:22:06  ,0:22:06  ,47.0,--,--,14,--,--
1.5,BREASTSTROKE,1,25.0,00:00:36.312,0:24:13  ,0:24:13  ,52.0,--,--,16,--,--
1.6,FREESTYLE,1,25.0,00:00:35.250,0:23:30  ,0:23:30  ,46.0,--,--,11,--,--
1.7,FREESTYLE,1,25.0,00:00:30.62,0:20:03  ,0:20:03  ,39.0,--,--,9,--,--
1.8,FREESTYLE,1,25.0,00:00:40.562,0:27:03  ,0:27:03  ,52.0,--,--,11,--,--
1.9,FREESTYLE,1,25.0,00:00:23.562,0:15:42  ,0:15:42  ,31.0,--,--,7,--,--
REST,,,0.0,00:00:53.438,--,--,0.0,--,--,--,10.5,--
2,MIXED,16,400.0,00:08:28.453,0:21:10  ,0:16:15  ,43.0,--,--,189,11.0,97
2.1,FREESTYLE,1,25.0,00:00:27.750,0:18:31  ,0:18:31  ,36.0,--,--,8,--,--
2.2,FREESTYLE,1,25.0,00:00:29.00,0:19:20  ,0:19:20  ,38.0,--,--,9,--,--
2.3,FREESTYLE,1,25.0,00:00:29.62,0:19:22  ,0:19:22  ,38.0,--,--,9,--,--
2.4,FREESTYLE,1,25.0,00:00:35.312,0:23:34  ,0:23:34  ,47.0,--,--,12,--,--
2.5,BREASTSTROKE,1,25.0,00:00:31.625,0:21:05  ,0:21:05  ,47.0,--,--,15,--,--
2.6,BREASTSTROKE,1,25.0,00:00:32.00,0:21:20  ,0:21:20  ,47.0,--,--,15,--,--
2.7,BREASTSTROKE,1,25.0,00:00:32.875,0:21:55  ,0:21:55  ,49.0,--,--,16,--,--
2.8,BREASTSTROKE,1,25.0,00:00:31.750,0:21:10  ,0:21:10  ,46.0,--,--,14,--,--
2.9,BACKSTROKE,1,25.0,00:00:34.625,0:23:05  ,0:23:05  ,48.0,--,--,13,--,--
2.10,BACKSTROKE,1,25.0,00:00:35.250,0:23:30  ,0:23:30  ,48.0,--,--,13,--,--
2.11,BACKSTROKE,1,25.0,00:00:37.687,0:25:08  ,0:25:08  ,52.0,--,--,14,--,--
2.12,BACKSTROKE,1,25.0,00:00:29.00,0:19:20  ,0:19:20  ,40.0,--,--,11,--,--
2.13,FREESTYLE,1,25.0,00:00:38.812,0:25:52  ,0:25:52  ,52.0,--,--,13,--,--
2.14,FREESTYLE,1,25.0,00:00:25.00,0:16:40  ,0:16:40  ,33.0,--,--,8,--,--
2.15,FREESTYLE,1,25.0,00:00:34.312,0:22:53  ,0:22:53  ,45.0,--,--,11,--,--
2.16,FREESTYLE,1,25.0,00:00:24.375,0:16:15  ,0:16:15  ,32.0,--,--,8,--,--
REST,,,0.0,00:00:28.922,--,--,0.0,--,--,--,11.615384615384615,--
3,BREASTSTROKE,4,100.0,00:02:25.602,0:24:15  ,0:23:18  ,52.0,--,--,62,15.0,28
3.1,BREASTSTROKE,1,25.0,00:00:37.750,0:25:10  ,0:25:10  ,54.0,--,--,16,--,--
3.2,BREASTSTROKE,1,25.0,00:00:36.937,0:24:39  ,0:24:39  ,52.0,--,--,15,--,--
3.3,BREASTSTROKE,1,25.0,00:00:34.937,0:23:18  ,0:23:18  ,50.0,--,--,15,--,--
3.4,BREASTSTROKE,1,25.0,00:00:36.00,0:24:00  ,0:24:00  ,52.0,--,--,16,--,--
REST,,,0.0,00:00:22.336,--,--,0.0,--,--,--,12.0,--
4,MIXED,13,325.0,00:07:00.961,0:21:35  ,0:17:13  ,43.0,--,--,149,11.0,70
4.1,FREESTYLE,1,25.0,00:00:36.437,0:24:17  ,0:24:17  ,48.0,--,--,12,--,--
4.2,FREESTYLE,1,25.0,00:00:29.250,0:19:30  ,0:19:30  ,40.0,--,--,11,--,--
4.3,FREESTYLE,1,25.0,00:00:32.561,0:21:43  ,0:21:43  ,44.0,--,--,11,--,--
4.4,FREESTYLE,1,25.0,00:00:31.125,0:20:45  ,0:20:45  ,42.0,--,--,11,--,--
4.5,FREESTYLE,1,25.0,00:00:28.937,0:19:18  ,0:19:18  ,38.0,--,--,9,--,--
4.6,FREESTYLE,1,25.0,00:00:33.250,0:22:11  ,0:22:11  ,43.0,--,--,10,--,--
4.7,FREESTYLE,1,25.0,00:00:32.875,0:21:55  ,0:21:55  ,44.0,--,--,11,--,--
4.8,FREESTYLE,1,25.0,00:00:35.875,0:23:56  ,0:23:56  ,49.0,--,--,13,--,--
4.9,FREESTYLE,1,25.0,00:00:33.500,0:22:20  ,0:22:20  ,45.0,--,--,11,--,--
4.10,FREESTYLE,1,25.0,00:00:32.937,0:21:57  ,0:21:57  ,44.0,--,--,11,--,--
4.11,BREASTSTROKE,1,25.0,00:00:34.625,0:23:05  ,0:23:05  ,50.0,--,--,15,--,--
4.12,BACKSTROKE,1,25.0,00:00:25.812,0:17:13  ,0:17:13  ,34.0,--,--,8,--,--
4.13,BREASTSTROKE,1,25.0,00:00:33.812,0:22:33  ,0:22:33  ,50.0,--,--,16,--,--
Summary,,42,1050.0,00:24:09.828,0:21:20  ,0:10:10  ,43.0,--,--,497,11.800000190734863,253
