Split,Swim Stroke,Lengths,Distance,Time,Avg Pace,Best Pace,Avg SWOLF,Avg Power,Max Power,Total Strokes,Avg Strokes,Calories
1,MIXED,8,200.0,00:04:16.656,0:21:20  ,0:16:50  ,44.0,--,--,98,12.0,48
1.1,BREASTSTROKE,1,25.0,00:00:35.437,0:23:38  ,0:23:38  ,50.0,--,--,15,--,--
1.2,BREASTSTROKE,1,25.0,00:00:34.687,0:23:08  ,0:23:08  ,50.0,--,--,15,--,--
1.3,BREASTSTROKE,1,25.0,00:00:32.311,0:21:33  ,0:21:33  ,46.0,--,--,14,--,--
1.4,BREASTSTROKE,1,25.0,00:00:38.750,0:25:50  ,0:25:50  ,55.0,--,--,16,--,--
1.5,FREESTYLE,1,25.0,00:00:30.500,0:20:21  ,0:20:21  ,41.0,--,--,10,--,--
1.6,FREESTYLE,1,25.0,00:00:28.875,0:19:16  ,0:19:16  ,39.0,--,--,10,--,--
1.7,FREESTYLE,1,25.0,00:00:30.312,0:20:13  ,0:20:13  ,40.0,--,--,10,--,--
1.8,FREESTYLE,1,25.0,00:00:25.250,0:16:50  ,0:16:50  ,33.0,--,--,8,--,--
REST,,,0.0,00:01:01.55,--,--,0.0,--,--,--,8.909090909090908,--
2,DRILL,4,100.0,00:02:42.945,--,--,0.0,--,--,--,8.384615384615385,--
2.1,DRILL,1,25.0,00:00:40.736,--,--,--,--,--,0,--,--
2.2,DRILL,1,25.0,00:00:40.736,--,--,--,--,--,0,--,--
2.3,DRILL,1,25.0,00:00:40.736,--,--,--,--,--,0,--,--
2.4,DRILL,1,25.0,00:00:40.736,--,--,--,--,--,0,--,--
REST,,,0.0,00:01:46.992,--,--,0.0,--,--,--,8.384615384615385,--
3,FREESTYLE,4,100.0,00:01:31.23,0:15:10  ,0:12:48  ,32.0,--,--,40,10.0,20
3.1,FREESTYLE,1,25.0,00:00:25.937,0:17:18  ,0:17:18  ,37.0,--,--,11,--,--
3.2,FREESTYLE,1,25.0,00:00:22.500,0:15:00  ,0:15:00  ,33.0,--,--,10,--,--
3.3,FREESTYLE,1,25.0,00:00:19.187,0:12:48  ,0:12:48  ,28.0,--,--,9,--,--
3.4,FREESTYLE,1,25.0,00:00:23.437,0:15:38  ,0:15:38  ,33.0,--,--,10,--,--
REST,,,0.0,00:00:22.914,--,--,0.0,--,--,--,9.058823529411764,--
4,BREASTSTROKE,4,100.0,00:02:21.492,0:23:34  ,0:22:44  ,50.0,--,--,62,15.0,28
4.1,BREASTSTROKE,1,25.0,00:00:34.62,0:22:44  ,0:22:44  ,50.0,--,--,16,--,--
4.2,BREASTSTROKE,1,25.0,00:00:35.125,0:23:26  ,0:23:26  ,51.0,--,--,16,--,--
4.3,BREASTSTROKE,1,25.0,00:00:35.375,0:23:36  ,0:23:36  ,50.0,--,--,15,--,--
4.4,BREASTSTROKE,1,25.0,00:00:36.937,0:24:39  ,0:24:39  ,52.0,--,--,15,--,--
REST,,,0.0,00:01:03.570,--,--,0.0,--,--,--,8.695652173913043,--
5,DRILL,4,100.0,00:02:44.969,--,--,0.0,--,--,--,8.36,--
5.1,DRILL,1,25.0,00:00:41.242,--,--,--,--,--,0,--,--
5.2,DRILL,1,25.0,00:00:41.242,--,--,--,--,--,0,--,--
5.3,DRILL,1,25.0,00:00:41.242,--,--,--,--,--,0,--,--
5.4,DRILL,1,25.0,00:00:41.242,--,--,--,--,--,0,--,--
REST,,,0.0,00:00:48.469,--,--,0.0,--,--,--,8.36,--
6,MIXED,20,500.0,00:11:23.344,0:22:46  ,0:18:28  ,47.0,--,--,264,13.0,125
6.1,FREESTYLE,1,25.0,00:00:27.750,0:18:31  ,0:18:31  ,37.0,--,--,9,--,--
6.2,FREESTYLE,1,25.0,00:00:29.625,0:19:46  ,0:19:46  ,40.0,--,--,10,--,--
6.3,FREESTYLE,1,25.0,00:00:31.875,0:21:15  ,0:21:15  ,43.0,--,--,11,--,--
6.4,FREESTYLE,1,25.0,00:00:32.375,0:21:35  ,0:21:35  ,44.0,--,--,12,--,--
6.5,BREASTSTROKE,1,25.0,00:00:31.375,0:20:56  ,0:20:56  ,46.0,--,--,15,--,--
6.6,BREASTSTROKE,1,25.0,00:00:35.437,0:23:38  ,0:23:38  ,50.0,--,--,15,--,--
6.7,BREASTSTROKE,1,25.0,00:00:36.00,0:24:00  ,0:24:00  ,52.0,--,--,16,--,--
6.8,BREASTSTROKE,1,25.0,00:00:36.250,0:24:11  ,0:24:11  ,52.0,--,--,16,--,--
6.9,BREASTSTROKE,1,25.0,00:00:39.312,0:26:14  ,0:26:14  ,53.0,--,--,14,--,--
6.10,BACKSTROKE,1,25.0,00:00:39.00,0:26:00  ,0:26:00  ,54.0,--,--,15,--,--
6.11,BACKSTROKE,1,25.0,00:00:27.750,0:18:31  ,0:18:31  ,36.0,--,--,8,--,--
6.12,BACKSTROKE,1,25.0,00:00:53.62,0:35:23  ,0:35:23  ,70.0,--,--,17,--,--
6.13,BREASTSTROKE,1,25.0,00:00:34.812,0:23:12  ,0:23:12  ,52.0,--,--,17,--,--
6.14,BREASTSTROKE,1,25.0,00:00:35.62,0:23:22  ,0:23:22  ,51.0,--,--,16,--,--
6.15,BREASTSTROKE,1,25.0,00:00:34.875,0:23:16  ,0:23:16  ,50.0,--,--,15,--,--
6.16,BREASTSTROKE,1,25.0,00:00:36.62,0:24:03  ,0:24:03  ,52.0,--,--,16,--,--
6.17,FREESTYLE,1,25.0,00:00:33.312,0:22:13  ,0:22:13  ,46.0,--,--,13,--,--
6.18,FREESTYLE,1,25.0,00:00:27.687,0:18:28  ,0:18:28  ,37.0,--,--,9,--,--
6.19,FREESTYLE,1,25.0,00:00:30.125,0:20:06  ,0:20:06  ,40.0,--,--,10,--,--
6.20,FREESTYLE,1,25.0,00:00:31.562,0:21:02  ,0:21:02  ,42.0,--,--,10,--,--
REST,,,0.0,00:00:19.406,--,--,0.0,--,--,--,9.872340425531915,--
7,DRILL,4,100.0,00:02:44.641,--,--,0.0,--,--,--,9.653061224489797,--
7.1,DRILL,1,25.0,00:00:41.160,--,--,--,--,--,0,--,--
7.2,DRILL,1,25.0,00:00:41.160,--,--,--,--,--,0,--,--
7.3,DRILL,1,25.0,00:00:41.160,--,--,--,--,--,0,--,--
7.4,DRILL,1,25.0,00:00:41.160,--,--,--,--,--,0,--,--
REST,,,0.0,00:01:03.984,--,--,0.0,--,--,--,9.653061224489797,--
8,FREESTYLE,4,100.0,00:01:37.203,0:16:11  ,0:15:08  ,34.0,--,--,39,9.0,20
8.1,FREESTYLE,1,25.0,00:00:22.687,0:15:08  ,0:15:08  ,32.0,--,--,9,--,--
8.2,FREESTYLE,1,25.0,00:00:26.187,0:17:28  ,0:17:28  ,37.0,--,--,11,--,--
8.3,FREESTYLE,1,25.0,00:00:23.125,0:15:25  ,0:15:25  ,32.0,--,--,9,--,--
8.4,FREESTYLE,1,25.0,00:00:25.187,0:16:48  ,0:16:48  ,35.0,--,--,10,--,--
REST,,,0.0,00:00:40.109,--,--,0.0,--,--,--,9.830188679245284,--
9,MIXED,8,200.0,00:04:34.688,0:22:53  ,0:19:33  ,47.0,--,--,108,13.0,48
9.1,BREASTSTROKE,1,25.0,00:00:36.375,0:24:15  ,0:24:15  ,54.0,--,--,18,--,--
9.2,BREASTSTROKE,1,25.0,00:00:38.312,0:25:33  ,0:25:33  ,55.0,--,--,17,--,--
9.3,FREESTYLE,1,25.0,00:00:29.312,0:19:33  ,0:19:33  ,39.0,--,--,10,--,--
9.4,FREESTYLE,1,25.0,00:00:29.500,0:19:40  ,0:19:40  ,39.0,--,--,9,--,--
9.5,FREESTYLE,1,25.0,00:00:35.500,0:23:40  ,0:23:40  ,48.0,--,--,12,--,--
9.6,FREESTYLE,1,25.0,00:00:29.625,0:19:46  ,0:19:46  ,40.0,--,--,10,--,--
9.7,BREASTSTROKE,1,25.0,00:00:37.250,0:24:50  ,0:24:50  ,53.0,--,--,16,--,--
9.8,BREASTSTROKE,1,25.0,00:00:38.812,0:25:52  ,0:25:52  ,55.0,--,--,16,--,--
Summary,,60,1500.0,00:41:03.773,0:21:27  ,0:12:48  ,44.0,--,--,611,12.699999809265137,289
