Split,Swim Stroke,Lengths,Distance,Time,Avg Pace,Best Pace,Avg SWOLF,Avg Power,Max Power,Total Strokes,Avg Strokes,Calories
1,MIXED,8,200.0,00:04:08.414,0:20:40  ,0:16:08  ,42.0,--,--,89,11.0,50
1.1,BREASTSTROKE,1,25.0,00:00:38.62,0:25:24  ,0:25:24  ,53.0,--,--,15,--,--
1.2,BREASTSTROKE,1,25.0,00:00:38.500,0:25:40  ,0:25:40  ,53.0,--,--,14,--,--
1.3,FREESTYLE,1,25.0,00:00:24.187,0:16:08  ,0:16:08  ,31.0,--,--,7,--,--
1.4,FREESTYLE,1,25.0,00:00:27.812,0:18:33  ,0:18:33  ,36.0,--,--,8,--,--
1.5,BREASTSTROKE,1,25.0,00:00:30.375,0:20:15  ,0:20:15  ,43.0,--,--,13,--,--
1.6,BREASTSTROKE,1,25.0,00:00:29.562,0:19:43  ,0:19:43  ,44.0,--,--,14,--,--
1.7,FREESTYLE,1,25.0,00:00:28.937,0:19:18  ,0:19:18  ,38.0,--,--,9,--,--
1.8,FREESTYLE,1,25.0,00:00:30.625,0:20:25  ,0:20:25  ,40.0,--,--,9,--,--
REST,,,0.0,00:00:30.156,--,--,0.0,--,--,--,8.090909090909092,--
2,DRILL,4,100.0,00:03:59.172,--,--,0.0,--,--,--,7.461538461538462,--
2.1,DRILL,1,25.0,00:00:59.793,--,--,--,--,--,0,--,--
2.2,DRILL,1,25.0,00:00:59.793,--,--,--,--,--,0,--,--
2.3,DRILL,1,25.0,00:00:59.793,--,--,--,--,--,0,--,--
2.4,DRILL,1,25.0,00:00:59.793,--,--,--,--,--,0,--,--
REST,,,0.0,00:00:14.766,--,--,0.0,--,--,--,7.461538461538462,--
3,MIXED,16,400.0,00:08:17.70,0:20:42  ,0:11:32  ,43.0,--,--,194,12.0,100
3.1,FREESTYLE,1,25.0,00:00:26.187,0:17:28  ,0:17:28  ,34.0,--,--,8,--,--
3.2,FREESTYLE,1,25.0,00:00:29.937,0:19:57  ,0:19:57  ,41.0,--,--,11,--,--
3.3,FREESTYLE,1,25.0,00:00:24.375,0:16:15  ,0:16:15  ,32.0,--,--,8,--,--
3.4,FREESTYLE,1,25.0,00:00:40.125,0:26:45  ,0:26:45  ,55.0,--,--,15,--,--
3.5,BREASTSTROKE,1,25.0,00:00:26.500,0:17:40  ,0:17:40  ,40.0,--,--,13,--,--
3.6,BREASTSTROKE,1,25.0,00:00:29.437,0:19:37  ,0:19:37  ,43.0,--,--,14,--,--
3.7,BREASTSTROKE,1,25.0,00:00:27.500,0:18:20  ,0:18:20  ,42.0,--,--,14,--,--
3.8,BREASTSTROKE,1,25.0,00:00:26.312,0:17:32  ,0:17:32  ,37.0,--,--,11,--,--
3.9,BACKSTROKE,1,25.0,00:00:37.812,0:25:12  ,0:25:12  ,52.0,--,--,14,--,--
3.10,BACKSTROKE,1,25.0,00:00:33.375,0:22:15  ,0:22:15  ,46.0,--,--,13,--,--
3.11,BACKSTROKE,1,25.0,00:00:34.937,0:23:18  ,0:23:18  ,49.0,--,--,14,--,--
3.12,BACKSTROKE,1,25.0,00:00:39.375,0:26:17  ,0:26:17  ,53.0,--,--,14,--,--
3.13,FREESTYLE,1,25.0,00:00:51.750,0:34:30  ,0:34:30  ,72.0,--,--,20,--,--
3.14,FREESTYLE,1,25.0,00:00:17.312,0:11:32  ,0:11:32  ,23.0,--,--,6,--,--
3.15,FREESTYLE,1,25.0,00:00:24.312,0:16:12  ,0:16:12  ,33.0,--,--,9,--,--
3.16,FREESTYLE,1,25.0,00:00:27.812,0:18:33  ,0:18:33  ,38.0,--,--,10,--,--
REST,,,0.0,00:00:37.430,--,--,0.0,--,--,--,9.129032258064516,--
4,DRILL,4,100.0,00:03:12.102,--,--,0.0,--,--,--,8.848484848484848,--
4.1,DRILL,1,25.0,00:00:48.25,--,--,--,--,--,0,--,--
4.2,DRILL,1,25.0,00:00:48.25,--,--,--,--,--,0,--,--
4.3,DRILL,1,25.0,00:00:48.25,--,--,--,--,--,0,--,--
4.4,DRILL,1,25.0,00:00:48.25,--,--,--,--,--,0,--,--
REST,,,0.0,00:00:09.461,--,--,0.0,--,--,--,8.848484848484848,--
5,MIXED,8,200.0,00:04:42.477,0:21:55  ,0:16:17  ,45.0,--,--,100,12.0,48
5.1,FREESTYLE,1,25.0,00:00:27.500,0:18:20  ,0:18:20  ,37.0,--,--,9,--,--
5.2,FREESTYLE,1,25.0,00:00:37.62,0:24:43  ,0:24:43  ,49.0,--,--,12,--,--
5.3,FREESTYLE,1,25.0,00:00:24.437,0:16:17  ,0:16:17  ,33.0,--,--,9,--,--
5.4,FREESTYLE,1,25.0,00:00:28.250,0:18:51  ,0:18:51  ,38.0,--,--,10,--,--
5.5,BREASTSTROKE,1,25.0,00:00:37.375,0:24:57  ,0:24:57  ,54.0,--,--,17,--,--
5.6,BREASTSTROKE,1,25.0,00:00:35.375,0:23:36  ,0:23:36  ,50.0,--,--,15,--,--
5.7,BREASTSTROKE,1,25.0,00:00:38.750,0:25:50  ,0:25:50  ,55.0,--,--,16,--,--
5.8,BREASTSTROKE,1,25.0,00:00:34.562,0:23:03  ,0:23:03  ,47.0,--,--,12,--,--
Summary,,40,1000.0,00:25:51.164,0:21:01  ,0:11:32  ,43.0,--,--,383,11.899999618530273,198
