Split,Swim Stroke,Lengths,Distance,Time,Avg Pace,Best Pace,Avg SWOLF,Avg Power,Max Power,Total Strokes,Avg Strokes,Calories
1,MIXED,8,200.0,00:04:24.39,0:21:59  ,0:18:31  ,46.0,--,--,104,13.0,49
1.1,BREASTSTROKE,1,25.0,00:00:31.625,0:21:05  ,0:21:05  ,47.0,--,--,15,--,--
1.2,BREASTSTROKE,1,25.0,00:00:36.62,0:24:03  ,0:24:03  ,52.0,--,--,16,--,--
1.3,FREESTYLE,1,25.0,00:00:34.437,0:22:59  ,0:22:59  ,46.0,--,--,12,--,--
1.4,FREESTYLE,1,25.0,00:00:27.750,0:18:31  ,0:18:31  ,37.0,--,--,9,--,--
1.5,BREASTSTROKE,1,25.0,00:00:36.562,0:24:24  ,0:24:24  ,53.0,--,--,16,--,--
1.6,BREASTSTROKE,1,25.0,00:00:34.562,0:23:03  ,0:23:03  ,50.0,--,--,15,--,--
1.7,FREESTYLE,1,25.0,00:00:31.562,0:21:02  ,0:21:02  ,42.0,--,--,10,--,--
1.8,FREESTYLE,1,25.0,00:00:31.125,0:20:45  ,0:20:45  ,42.0,--,--,11,--,--
REST,,,0.0,00:00:40.813,--,--,0.0,--,--,--,9.454545454545455,--
2,DRILL,4,100.0,00:03:02.922,--,--,0.0,--,--,--,8.76923076923077,--
2.1,DRILL,1,25.0,00:00:45.730,--,--,--,--,--,0,--,--
2.2,DRILL,1,25.0,00:00:45.730,--,--,--,--,--,0,--,--
2.3,DRILL,1,25.0,00:00:45.730,--,--,--,--,--,0,--,--
2.4,DRILL,1,25.0,00:00:45.730,--,--,--,--,--,0,--,--
REST,,,0.0,00:01:47.203,--,--,0.0,--,--,--,8.76923076923077,--
3,FREESTYLE,4,100.0,00:01:30.656,0:15:06  ,0:12:05  ,33.0,--,--,41,10.0,20
3.1,FREESTYLE,1,25.0,00:00:24.812,0:16:33  ,0:16:33  ,35.0,--,--,10,--,--
3.2,FREESTYLE,1,25.0,00:00:18.125,0:12:05  ,0:12:05  ,27.0,--,--,9,--,--
3.3,FREESTYLE,1,25.0,00:00:26.375,0:17:35  ,0:17:35  ,38.0,--,--,12,--,--
3.4,FREESTYLE,1,25.0,00:00:21.312,0:14:12  ,0:14:12  ,31.0,--,--,10,--,--
REST,,,0.0,00:00:51.94,--,--,0.0,--,--,--,9.411764705882353,--
4,BREASTSTROKE,4,100.0,00:02:26.875,0:24:28  ,0:23:05  ,53.0,--,--,65,16.0,28
4.1,BREASTSTROKE,1,25.0,00:00:34.625,0:23:05  ,0:23:05  ,50.0,--,--,15,--,--
4.2,BREASTSTROKE,1,25.0,00:00:36.937,0:24:39  ,0:24:39  ,54.0,--,--,17,--,--
4.3,BREASTSTROKE,1,25.0,00:00:37.687,0:25:08  ,0:25:08  ,55.0,--,--,17,--,--
4.4,BREASTSTROKE,1,25.0,00:00:37.687,0:25:08  ,0:25:08  ,54.0,--,--,16,--,--
REST,,,0.0,00:00:18.00,--,--,0.0,--,--,--,10.476190476190476,--
5,FREESTYLE,20,500.0,00:10:30.758,0:21:01  ,0:19:20  ,42.0,--,--,222,11.0,100
5.1,FREESTYLE,1,25.0,00:00:29.00,0:19:20  ,0:19:20  ,39.0,--,--,10,--,--
5.2,FREESTYLE,1,25.0,00:00:33.687,0:22:27  ,0:22:27  ,46.0,--,--,12,--,--
