Split,Swim Stroke,Lengths,Distance,Time,Avg Pace,Best Pace,Avg SWOLF,Avg Power,Max Power,Total Strokes,Avg Strokes,Calories
1,MIXED,8,200.0,00:04:13.984,0:21:07  ,0:13:47  ,44.0,--,--,101,12.0,49
1.1,BREASTSTROKE,1,25.0,00:00:36.62,0:24:03  ,0:24:03  ,52.0,--,--,16,--,--
1.2,BREASTSTROKE,1,25.0,00:00:34.812,0:23:12  ,0:23:12  ,50.0,--,--,15,--,--
1.3,FREESTYLE,1,25.0,00:00:32.686,0:21:48  ,0:21:48  ,44.0,--,--,11,--,--
1.4,FREESTYLE,1,25.0,00:00:34.250,0:22:51  ,0:22:51  ,46.0,--,--,12,--,--
1.5,BREASTSTROKE,1,25.0,00:00:20.687,0:13:47  ,0:13:47  ,32.0,--,--,11,--,--
1.6,BREASTSTROKE,1,25.0,00:00:32.311,0:21:33  ,0:21:33  ,47.0,--,--,15,--,--
1.7,FREESTYLE,1,25.0,00:00:31.625,0:21:05  ,0:21:05  ,43.0,--,--,11,--,--
1.8,FREESTYLE,1,25.0,00:00:31.62,0:20:43  ,0:20:43  ,41.0,--,--,10,--,--
REST,,,0.0,00:00:46.820,--,--,0.0,--,--,--,9.181818181818182,--
2,DRILL,4,100.0,00:02:49.102,--,--,0.0,--,--,--,8.461538461538462,--
2.1,DRILL,1,25.0,00:00:42.275,--,--,--,--,--,0,--,--
2.2,DRILL,1,25.0,00:00:42.275,--,--,--,--,--,0,--,--
2.3,DRILL,1,25.0,00:00:42.275,--,--,--,--,--,0,--,--
2.4,DRILL,1,25.0,00:00:42.275,--,--,--,--,--,0,--,--
REST,,,0.0,00:01:03.836,--,--,0.0,--,--,--,8.461538461538462,--
3,MIXED,4,100.0,00:02:10.250,0:21:42  ,0:18:52  ,45.0,--,--,50,12.0,24
3.1,FREESTYLE,1,25.0,00:00:28.312,0:18:52  ,0:18:52  ,37.0,--,--,9,--,--
3.2,FREESTYLE,1,25.0,00:00:29.500,0:19:40  ,0:19:40  ,40.0,--,--,10,--,--
3.3,BREASTSTROKE,1,25.0,00:00:37.562,0:25:03  ,0:25:03  ,55.0,--,--,17,--,--
3.4,BREASTSTROKE,1,25.0,00:00:34.875,0:23:16  ,0:23:16  ,49.0,--,--,14,--,--
Summary,,16,400.0,00:11:04.70,0:21:18  ,0:13:47  ,44.0,--,--,151,12.5,73
