Split,Swim Stroke,Lengths,Distance,Time,Avg Pace,Best Pace,Avg SWOLF,Avg Power,Max Power,Total Strokes,Avg Strokes,Calories
1,MIXED,8,200.0,00:04:29.484,0:22:24  ,0:17:38  ,45.0,--,--,98,12.0,48
1.1,BREASTSTROKE,1,25.0,00:00:38.687,0:25:47  ,0:25:47  ,54.0,--,--,15,--,--
1.2,BREASTSTROKE,1,25.0,00:00:36.687,0:24:28  ,0:24:28  ,52.0,--,--,15,--,--
1.3,FREESTYLE,1,25.0,00:00:32.686,0:21:48  ,0:21:48  ,44.0,--,--,11,--,--
1.4,FREESTYLE,1,25.0,00:00:30.312,0:20:13  ,0:20:13  ,40.0,--,--,10,--,--
1.5,BREASTSTROKE,1,25.0,00:00:32.561,0:21:43  ,0:21:43  ,46.0,--,--,13,--,--
1.6,BREASTSTROKE,1,25.0,00:00:41.437,0:27:38  ,0:27:38  ,57.0,--,--,16,--,--
1.7,FREESTYLE,1,25.0,00:00:26.437,0:17:38  ,0:17:38  ,34.0,--,--,8,--,--
1.8,FREESTYLE,1,25.0,00:00:30.187,0:20:07  ,0:20:07  ,40.0,--,--,10,--,--
REST,,,0.0,00:00:11.39,--,--,0.0,--,--,--,8.909090909090908,--
2,DRILL,4,100.0,00:03:42.39,--,--,0.0,--,--,--,8.23076923076923,--
2.1,DRILL,1,25.0,00:00:55.509,--,--,--,--,--,0,--,--
2.2,DRILL,1,25.0,00:00:55.509,--,--,--,--,--,0,--,--
2.3,DRILL,1,25.0,00:00:55.509,--,--,--,--,--,0,--,--
2.4,DRILL,1,25.0,00:00:55.509,--,--,--,--,--,0,--,--
REST,,,0.0,00:00:44.711,--,--,0.0,--,--,--,8.23076923076923,--
3,FREESTYLE,16,400.0,00:07:26.531,0:18:36  ,0:14:32  ,38.0,--,--,169,10.0,80
3.1,FREESTYLE,1,25.0,00:00:27.62,0:18:03  ,0:18:03  ,36.0,--,--,9,--,--
3.2,FREESTYLE,1,25.0,00:00:28.312,0:18:52  ,0:18:52  ,37.0,--,--,9,--,--
3.3,FREESTYLE,1,25.0,00:00:29.62,0:19:22  ,0:19:22  ,39.0,--,--,10,--,--
3.4,FREESTYLE,1,25.0,00:00:29.437,0:19:37  ,0:19:37  ,39.0,--,--,10,--,--
3.5,FREESTYLE,1,25.0,00:00:30.187,0:20:07  ,0:20:07  ,41.0,--,--,11,--,--
3.6,FREESTYLE,1,25.0,00:00:22.125,0:14:45  ,0:14:45  ,31.0,--,--,9,--,--
3.7,FREESTYLE,1,25.0,00:00:26.125,0:17:26  ,0:17:26  ,36.0,--,--,10,--,--
3.8,FREESTYLE,1,25.0,00:00:25.00,0:16:40  ,0:16:40  ,35.0,--,--,10,--,--
3.9,FREESTYLE,1,25.0,00:00:33.812,0:22:33  ,0:22:33  ,47.0,--,--,13,--,--
3.10,FREESTYLE,1,25.0,00:00:28.937,0:19:18  ,0:19:18  ,39.0,--,--,10,--,--
3.11,FREESTYLE,1,25.0,00:00:30.875,0:20:36  ,0:20:36  ,42.0,--,--,11,--,--
3.12,FREESTYLE,1,25.0,00:00:34.500,0:23:01  ,0:23:01  ,48.0,--,--,13,--,--
3.13,FREESTYLE,1,25.0,00:00:27.937,0:18:38  ,0:18:38  ,41.0,--,--,13,--,--
3.14,FREESTYLE,1,25.0,00:00:22.312,0:14:52  ,0:14:52  ,31.0,--,--,9,--,--
3.15,FREESTYLE,1,25.0,00:00:29.62,0:19:22  ,0:19:22  ,41.0,--,--,12,--,--
3.16,FREESTYLE,1,25.0,00:00:21.812,0:14:32  ,0:14:32  ,32.0,--,--,10,--,--
REST,,,0.0,00:01:24.219,--,--,0.0,--,--,--,8.612903225806452,--
4,DRILL,4,100.0,00:03:29.516,--,--,0.0,--,--,--,8.545454545454545,--
4.1,DRILL,1,25.0,00:00:52.379,--,--,--,--,--,0,--,--
4.2,DRILL,1,25.0,00:00:52.379,--,--,--,--,--,0,--,--
4.3,DRILL,1,25.0,00:00:52.379,--,--,--,--,--,0,--,--
4.4,DRILL,1,25.0,00:00:52.379,--,--,--,--,--,0,--,--
REST,,,0.0,00:00:05.609,--,--,0.0,--,--,--,8.545454545454545,--
REST,,,0.0,00:00:02.680,--,--,0.0,--,--,--,8.545454545454545,--
REST,,,0.0,00:01:13.320,--,--,0.0,--,--,--,8.545454545454545,--
5,BREASTSTROKE,8,200.0,00:04:28.55,0:22:20  ,0:19:30  ,48.0,--,--,120,15.0,59
5.1,BREASTSTROKE,1,25.0,00:00:29.812,0:19:53  ,0:19:53  ,45.0,--,--,15,--,--
5.2,BREASTSTROKE,1,25.0,00:00:33.62,0:22:02  ,0:22:02  ,48.0,--,--,15,--,--
5.3,BREASTSTROKE,1,25.0,00:00:33.437,0:22:18  ,0:22:18  ,48.0,--,--,15,--,--
5.4,BREASTSTROKE,1,25.0,00:00:31.625,0:21:05  ,0:21:05  ,46.0,--,--,14,--,--
5.5,BREASTSTROKE,1,25.0,00:00:35.562,0:23:44  ,0:23:44  ,52.0,--,--,16,--,--
5.6,BREASTSTROKE,1,25.0,00:00:29.250,0:19:30  ,0:19:30  ,43.0,--,--,14,--,--
5.7,BREASTSTROKE,1,25.0,00:00:32.375,0:21:35  ,0:21:35  ,46.0,--,--,14,--,--
5.8,BREASTSTROKE,1,25.0,00:00:43.00,0:28:41  ,0:28:41  ,60.0,--,--,17,--,--
Summary,,40,1000.0,00:27:17.453,0:20:30  ,0:14:32  ,42.0,--,--,387,12.0,187
