Split,Swim Stroke,Lengths,Distance,Time,Avg Pace,Best Pace,Avg SWOLF,Avg Power,Max Power,Total Strokes,Avg Strokes,Calories
1,MIXED,8,200.0,00:04:17.906,0:21:27  ,0:16:43  ,43.0,--,--,93,11.0,49
1.1,BREASTSTROKE,1,25.0,00:00:33.750,0:22:31  ,0:22:31  ,49.0,--,--,15,--,--
1.2,BREASTSTROKE,1,25.0,00:00:35.437,0:23:38  ,0:23:38  ,49.0,--,--,14,--,--
1.3,FREESTYLE,1,25.0,00:00:30.312,0:20:13  ,0:20:13  ,39.0,--,--,9,--,--
1.4,FREESTYLE,1,25.0,00:00:31.875,0:21:15  ,0:21:15  ,41.0,--,--,9,--,--
1.5,BREASTSTROKE,1,25.0,00:00:39.00,0:26:00  ,0:26:00  ,55.0,--,--,16,--,--
1.6,BREASTSTROKE,1,25.0,00:00:27.62,0:18:03  ,0:18:03  ,38.0,--,--,11,--,--
1.7,FREESTYLE,1,25.0,00:00:34.937,0:23:18  ,0:23:18  ,47.0,--,--,12,--,--
1.8,FREESTYLE,1,25.0,00:00:25.62,0:16:43  ,0:16:43  ,32.0,--,--,7,--,--
REST,,,0.0,00:00:23.281,--,--,0.0,--,--,--,8.454545454545455,--
2,DRILL,4,100.0,00:03:13.195,--,--,0.0,--,--,--,8.307692307692308,--
2.1,DRILL,1,25.0,00:00:48.298,--,--,--,--,--,0,--,--
2.2,DRILL,1,25.0,00:00:48.298,--,--,--,--,--,0,--,--
2.3,DRILL,1,25.0,00:00:48.298,--,--,--,--,--,0,--,--
2.4,DRILL,1,25.0,00:00:48.298,--,--,--,--,--,0,--,--
REST,,,0.0,00:00:22.305,--,--,0.0,--,--,--,8.307692307692308,--
3,MIXED,20,500.0,00:10:32.445,0:21:04  ,0:18:52  ,43.0,--,--,245,12.0,126
3.1,BREASTSTROKE,1,25.0,00:00:34.250,0:22:51  ,0:22:51  ,49.0,--,--,15,--,--
3.2,BREASTSTROKE,1,25.0,00:00:30.250,0:20:10  ,0:20:10  ,43.0,--,--,13,--,--
3.3,BREASTSTROKE,1,25.0,00:00:32.686,0:21:48  ,0:21:48  ,48.0,--,--,15,--,--
3.4,BREASTSTROKE,1,25.0,00:00:36.562,0:24:24  ,0:24:24  ,51.0,--,--,14,--,--
3.5,FREESTYLE,1,25.0,00:00:28.312,0:18:52  ,0:18:52  ,37.0,--,--,9,--,--
3.6,FREESTYLE,1,25.0,00:00:29.187,0:19:28  ,0:19:28  ,37.0,--,--,8,--,--
3.7,FREESTYLE,1,25.0,00:00:28.812,0:19:13  ,0:19:13  ,37.0,--,--,8,--,--
3.8,FREESTYLE,1,25.0,00:00:30.125,0:20:06  ,0:20:06  ,40.0,--,--,10,--,--
3.9,BREASTSTROKE,1,25.0,00:00:33.312,0:22:13  ,0:22:13  ,48.0,--,--,15,--,--
3.10,BREASTSTROKE,1,25.0,00:00:32.375,0:21:35  ,0:21:35  ,47.0,--,--,15,--,--
3.11,BREASTSTROKE,1,25.0,00:00:33.625,0:22:25  ,0:22:25  ,49.0,--,--,15,--,--
