Split,Swim Stroke,Lengths,Distance,Time,Avg Pace,Best Pace,Avg SWOLF,Avg Power,Max Power,Total Strokes,Avg Strokes,Calories
1,MIXED,8,200.0,00:04:12.891,0:21:02  ,0:17:48  ,43.0,--,--,96,12.0,50
1.1,BREASTSTROKE,1,25.0,00:00:42.312,0:28:14  ,0:28:14  ,59.0,--,--,17,--,--
1.2,BREASTSTROKE,1,25.0,00:00:26.687,0:17:48  ,0:17:48  ,39.0,--,--,12,--,--
1.3,FREESTYLE,1,25.0,00:00:30.687,0:20:28  ,0:20:28  ,41.0,--,--,10,--,--
1.4,FREESTYLE,1,25.0,00:00:30.687,0:20:28  ,0:20:28  ,40.0,--,--,9,--,--
1.5,BREASTSTROKE,1,25.0,00:00:30.187,0:20:07  ,0:20:07  ,43.0,--,--,13,--,--
1.6,BREASTSTROKE,1,25.0,00:00:34.937,0:23:18  ,0:23:18  ,50.0,--,--,15,--,--
1.7,FREESTYLE,1,25.0,00:00:28.687,0:19:08  ,0:19:08  ,39.0,--,--,10,--,--
1.8,FREESTYLE,1,25.0,00:00:28.312,0:18:52  ,0:18:52  ,38.0,--,--,10,--,--
REST,,,0.0,00:00:34.477,--,--,0.0,--,--,--,8.727272727272727,--
2,DRILL,4,100.0,00:03:11.469,--,--,0.0,--,--,--,8.0,--
2.1,DRILL,1,25.0,00:00:47.867,--,--,--,--,--,0,--,--
2.2,DRILL,1,25.0,00:00:47.867,--,--,--,--,--,0,--,--
2.3,DRILL,1,25.0,00:00:47.867,--,--,--,--,--,0,--,--
2.4,DRILL,1,25.0,00:00:47.867,--,--,--,--,--,0,--,--
REST,,,0.0,00:01:23.531,--,--,0.0,--,--,--,8.0,--
3,MIXED,16,400.0,00:07:49.344,0:19:33  ,0:15:32  ,40.0,--,--,175,10.0,95
3.1,FREESTYLE,1,25.0,00:00:25.437,0:16:58  ,0:16:58  ,33.0,--,--,8,--,--
3.2,FREESTYLE,1,25.0,00:00:33.125,0:22:06  ,0:22:06  ,43.0,--,--,10,--,--
3.3,FREESTYLE,1,25.0,00:00:27.62,0:18:03  ,0:18:03  ,35.0,--,--,8,--,--
3.4,FREESTYLE,1,25.0,00:00:28.562,0:19:02  ,0:19:02  ,39.0,--,--,10,--,--
3.5,BREASTSTROKE,1,25.0,00:00:23.312,0:15:32  ,0:15:32  ,34.0,--,--,11,--,--
3.6,BREASTSTROKE,1,25.0,00:00:30.125,0:20:06  ,0:20:06  ,43.0,--,--,13,--,--
3.7,BREASTSTROKE,1,25.0,00:00:32.875,0:21:55  ,0:21:55  ,47.0,--,--,14,--,--
3.8,BREASTSTROKE,1,25.0,00:00:35.875,0:23:56  ,0:23:56  ,51.0,--,--,15,--,--
3.9,BACKSTROKE,1,25.0,00:00:29.125,0:19:25  ,0:19:25  ,40.0,--,--,11,--,--
3.10,BACKSTROKE,1,25.0,00:00:33.125,0:22:06  ,0:22:06  ,44.0,--,--,11,--,--
3.11,BACKSTROKE,1,25.0,00:00:32.561,0:21:43  ,0:21:43  ,46.0,--,--,13,--,--
3.12,BACKSTROKE,1,25.0,00:00:31.187,0:20:48  ,0:20:48  ,44.0,--,--,13,--,--
3.13,FREESTYLE,1,25.0,00:00:31.437,0:20:57  ,0:20:57  ,42.0,--,--,11,--,--
3.14,FREESTYLE,1,25.0,00:00:24.500,0:16:20  ,0:16:20  ,34.0,--,--,9,--,--
3.15,FREESTYLE,1,25.0,00:00:26.187,0:17:28  ,0:17:28  ,35.0,--,--,9,--,--
3.16,FREESTYLE,1,25.0,00:00:24.875,0:16:35  ,0:16:35  ,34.0,--,--,9,--,--
REST,,,0.0,00:02:06.719,--,--,0.0,--,--,--,8.741935483870968,--
4,DRILL,4,100.0,00:03:10.422,--,--,0.0,--,--,--,8.515151515151516,--
4.1,DRILL,1,25.0,00:00:47.605,--,--,--,--,--,0,--,--
4.2,DRILL,1,25.0,00:00:47.605,--,--,--,--,--,0,--,--
4.3,DRILL,1,25.0,00:00:47.605,--,--,--,--,--,0,--,--
4.4,DRILL,1,25.0,00:00:47.605,--,--,--,--,--,0,--,--
REST,,,0.0,00:01:55.703,--,--,0.0,--,--,--,8.515151515151516,--
5,FREESTYLE,20,500.0,00:10:21.242,0:20:42  ,0:17:46  ,41.0,--,--,216,10.0,100
5.1,FREESTYLE,1,25.0,00:00:31.937,0:21:18  ,0:21:18  ,42.0,--,--,10,--,--
5.2,FREESTYLE,1,25.0,00:00:26.625,0:17:46  ,0:17:46  ,36.0,--,--,9,--,--
5.3,FREESTYLE,1,25.0,00:00:30.812,0:20:33  ,0:20:33  ,41.0,--,--,10,--,--
5.4,FREESTYLE,1,25.0,00:00:33.125,0:22:06  ,0:22:06  ,44.0,--,--,11,--,--
5.5,FREESTYLE,1,25.0,00:00:34.125,0:22:46  ,0:22:46  ,47.0,--,--,13,--,--
5.6,FREESTYLE,1,25.0,00:00:28.500,0:19:00  ,0:19:00  ,39.0,--,--,10,--,--
5.7,FREESTYLE,1,25.0,00:00:27.250,0:18:10  ,0:18:10  ,36.0,--,--,9,--,--
5.8,FREESTYLE,1,25.0,00:00:34.812,0:23:12  ,0:23:12  ,48.0,--,--,13,--,--
5.9,FREESTYLE,1,25.0,00:00:29.937,0:19:57  ,0:19:57  ,41.0,--,--,11,--,--
5.10,FREESTYLE,1,25.0,00:00:28.437,0:18:57  ,0:18:57  ,38.0,--,--,10,--,--
5.11,FREESTYLE,1,25.0,00:00:28.00,0:18:41  ,0:18:41  ,38.0,--,--,10,--,--
5.12,FREESTYLE,1,25.0,00:00:30.937,0:20:37  ,0:20:37  ,42.0,--,--,11,--,--
5.13,FREESTYLE,1,25.0,00:00:30.687,0:20:28  ,0:20:28  ,41.0,--,--,10,--,--
5.14,FREESTYLE,1,25.0,00:00:30.875,0:20:36  ,0:20:36  ,41.0,--,--,10,--,--
5.15,FREESTYLE,1,25.0,00:00:31.875,0:21:15  ,0:21:15  ,45.0,--,--,13,--,--
5.16,FREESTYLE,1,25.0,00:00:34.62,0:22:44  ,0:22:44  ,46.0,--,--,12,--,--
5.17,FREESTYLE,1,25.0,00:00:34.125,0:22:46  ,0:22:46  ,46.0,--,--,12,--,--
5.18,FREESTYLE,1,25.0,00:00:33.250,0:22:11  ,0:22:11  ,45.0,--,--,12,--,--
5.19,FREESTYLE,1,25.0,00:00:31.250,0:20:49  ,0:20:49  ,42.0,--,--,11,--,--
5.20,FREESTYLE,1,25.0,00:00:30.625,0:20:25  ,0:20:25  ,40.0,--,--,9,--,--
REST,,,0.0,00:01:05.507,--,--,0.0,--,--,--,9.50943396226415,--
6,MIXED,8,200.0,00:04:54.180,0:24:30  ,0:18:26  ,51.0,--,--,117,14.0,50
6.1,BREASTSTROKE,1,25.0,00:00:35.500,0:23:40  ,0:23:40  ,53.0,--,--,17,--,--
6.2,BREASTSTROKE,1,25.0,00:00:35.812,0:23:52  ,0:23:52  ,52.0,--,--,16,--,--
6.3,BREASTSTROKE,1,25.0,00:00:37.250,0:24:50  ,0:24:50  ,54.0,--,--,17,--,--
