Split,Swim Stroke,Lengths,Distance,Time,Avg Pace,Best Pace,Avg SWOLF,Avg Power,Max Power,Total Strokes,Avg Strokes,Calories
1,MIXED,8,200.0,00:04:11.914,0:20:57  ,0:14:25  ,42.0,--,--,89,11.0,51
1.1,BREASTSTROKE,1,25.0,00:00:45.62,0:30:05  ,0:30:05  ,60.0,--,--,15,--,--
1.2,BREASTSTROKE,1,25.0,00:00:24.437,0:16:17  ,0:16:17  ,34.0,--,--,10,--,--
1.3,FREESTYLE,1,25.0,00:00:37.00,0:24:41  ,0:24:41  ,48.0,--,--,11,--,--
1.4,FREESTYLE,1,25.0,00:00:24.812,0:16:33  ,0:16:33  ,32.0,--,--,7,--,--
1.5,BREASTSTROKE,1,25.0,00:00:31.562,0:21:02  ,0:21:02  ,46.0,--,--,14,--,--
1.6,BREASTSTROKE,1,25.0,00:00:30.500,0:20:21  ,0:20:21  ,43.0,--,--,12,--,--
1.7,FREESTYLE,1,25.0,00:00:36.562,0:24:24  ,0:24:24  ,50.0,--,--,13,--,--
1.8,FREESTYLE,1,25.0,00:00:21.625,0:14:25  ,0:14:25  ,29.0,--,--,7,--,--
REST,,,0.0,00:00:19.859,--,--,0.0,--,--,--,8.090909090909092,--
2,DRILL,4,100.0,00:03:03.922,--,--,0.0,--,--,--,7.615384615384615,--
2.1,DRILL,1,25.0,00:00:45.980,--,--,--,--,--,0,--,--
2.2,DRILL,1,25.0,00:00:45.980,--,--,--,--,--,0,--,--
2.3,DRILL,1,25.0,00:00:45.980,--,--,--,--,--,0,--,--
2.4,DRILL,1,25.0,00:00:45.980,--,--,--,--,--,0,--,--
REST,,,0.0,00:00:14.78,--,--,0.0,--,--,--,7.615384615384615,--
3,MIXED,16,400.0,00:07:41.117,0:19:13  ,0:13:05  ,39.0,--,--,178,11.0,97
3.1,FREESTYLE,1,25.0,00:00:29.312,0:19:33  ,0:19:33  ,39.0,--,--,10,--,--
3.2,FREESTYLE,1,25.0,00:00:26.500,0:17:40  ,0:17:40  ,37.0,--,--,10,--,--
3.3,FREESTYLE,1,25.0,00:00:28.625,0:19:05  ,0:19:05  ,39.0,--,--,10,--,--
3.4,FREESTYLE,1,25.0,00:00:20.812,0:13:52  ,0:13:52  ,28.0,--,--,7,--,--
3.5,BREASTSTROKE,1,25.0,00:00:33.562,0:22:24  ,0:22:24  ,50.0,--,--,16,--,--
3.6,BREASTSTROKE,1,25.0,00:00:22.500,0:15:00  ,0:15:00  ,33.0,--,--,10,--,--
3.7,BREASTSTROKE,1,25.0,00:00:31.812,0:21:13  ,0:21:13  ,45.0,--,--,13,--,--
3.8,BREASTSTROKE,1,25.0,00:00:30.625,0:20:25  ,0:20:25  ,44.0,--,--,13,--,--
3.9,BACKSTROKE,1,25.0,00:00:34.812,0:23:12  ,0:23:12  ,50.0,--,--,15,--,--
