Split,Swim Stroke,Lengths,Distance,Time,Avg Pace,Best Pace,Avg SWOLF,Avg Power,Max Power,Total Strokes,Avg Strokes,Calories
1,MIXED,8,200.0,00:04:13.758,0:21:07  ,0:17:55  ,43.0,--,--,94,11.0,42
1.1,FREESTYLE,1,25.0,00:00:27.437,0:18:17  ,0:18:17  ,36.0,--,--,9,--,--
1.2,FREESTYLE,1,25.0,00:00:28.562,0:19:02  ,0:19:02  ,42.0,--,--,13,--,--
1.3,FREESTYLE,1,25.0,00:00:38.00,0:25:22  ,0:25:22  ,51.0,--,--,13,--,--
1.4,BREASTSTROKE,1,25.0,00:00:37.250,0:24:50  ,0:24:50  ,55.0,--,--,18,--,--
1.5,FREESTYLE,1,25.0,00:00:34.687,0:23:08  ,0:23:08  ,47.0,--,--,12,--,--
1.6,FREESTYLE,1,25.0,00:00:26.875,0:17:55  ,0:17:55  ,36.0,--,--,9,--,--
1.7,FREESTYLE,1,25.0,00:00:29.937,0:19:57  ,0:19:57  ,40.0,--,--,10,--,--
1.8,FREESTYLE,1,25.0,00:00:30.625,0:20:25  ,0:20:25  ,41.0,--,--,10,--,--
REST,,,0.0,00:01:46.758,--,--,0.0,--,--,--,6.266666666666667,--
2,DRILL,8,200.0,00:08:02.859,--,--,0.0,--,--,--,4.086956521739131,--
2.1,DRILL,1,25.0,00:01:00.357,--,--,--,--,--,0,--,--
2.2,DRILL,1,25.0,00:01:00.357,--,--,--,--,--,0,--,--
2.3,DRILL,1,25.0,00:01:00.357,--,--,--,--,--,0,--,--
2.4,DRILL,1,25.0,00:01:00.357,--,--,--,--,--,0,--,--
2.5,DRILL,1,25.0,00:01:00.357,--,--,--,--,--,0,--,--
2.6,DRILL,1,25.0,00:01:00.357,--,--,--,--,--,0,--,--
2.7,DRILL,1,25.0,00:01:00.357,--,--,--,--,--,0,--,--
2.8,DRILL,1,25.0,00:01:00.357,--,--,--,--,--,0,--,--
REST,,,0.0,00:00:39.703,--,--,0.0,--,--,--,4.086956521739131,--
3,DRILL,8,200.0,00:04:35.445,--,--,0.0,--,--,--,3.032258064516129,--
3.1,DRILL,1,25.0,00:00:34.430,--,--,--,--,--,0,--,--
3.2,DRILL,1,25.0,00:00:34.430,--,--,--,--,--,0,--,--
3.3,DRILL,1,25.0,00:00:34.430,--,--,--,--,--,0,--,--
3.4,DRILL,1,25.0,00:00:34.430,--,--,--,--,--,0,--,--
3.5,DRILL,1,25.0,00:00:34.430,--,--,--,--,--,0,--,--
3.6,DRILL,1,25.0,00:00:34.430,--,--,--,--,--,0,--,--
3.7,DRILL,1,25.0,00:00:34.430,--,--,--,--,--,0,--,--
3.8,DRILL,1,25.0,00:00:34.430,--,--,--,--,--,0,--,--
REST,,,0.0,00:00:18.867,--,--,0.0,--,--,--,3.032258064516129,--
4,DRILL,8,200.0,00:05:57.203,--,--,0.0,--,--,--,3.121212121212121,--
4.1,DRILL,1,25.0,00:00:44.650,--,--,--,--,--,0,--,--
4.2,DRILL,1,25.0,00:00:44.650,--,--,--,--,--,0,--,--
4.3,DRILL,1,25.0,00:00:44.650,--,--,--,--,--,0,--,--
4.4,DRILL,1,25.0,00:00:44.650,--,--,--,--,--,0,--,--
4.5,DRILL,1,25.0,00:00:44.650,--,--,--,--,--,0,--,--
4.6,DRILL,1,25.0,00:00:44.650,--,--,--,--,--,0,--,--
4.7,DRILL,1,25.0,00:00:44.650,--,--,--,--,--,0,--,--
4.8,DRILL,1,25.0,00:00:44.650,--,--,--,--,--,0,--,--
REST,,,0.0,00:01:27.797,--,--,0.0,--,--,--,3.121212121212121,--
5,FREESTYLE,8,200.0,00:03:20.922,0:16:45  ,0:16:08  ,34.0,--,--,78,9.0,40
5.1,FREESTYLE,1,25.0,00:00:24.187,0:16:08  ,0:16:08  ,33.0,--,--,9,--,--
5.2,FREESTYLE,1,25.0,00:00:24.562,0:16:23  ,0:16:23  ,34.0,--,--,9,--,--
5.3,FREESTYLE,1,25.0,00:00:25.00,0:16:40  ,0:16:40  ,35.0,--,--,10,--,--
5.4,FREESTYLE,1,25.0,00:00:25.687,0:17:07  ,0:17:07  ,36.0,--,--,10,--,--
5.5,FREESTYLE,1,25.0,00:00:25.500,0:17:00  ,0:17:00  ,36.0,--,--,10,--,--
5.6,FREESTYLE,1,25.0,00:00:25.750,0:17:10  ,0:17:10  ,36.0,--,--,10,--,--
5.7,FREESTYLE,1,25.0,00:00:25.62,0:16:43  ,0:16:43  ,35.0,--,--,10,--,--
5.8,FREESTYLE,1,25.0,00:00:25.187,0:16:48  ,0:16:48  ,35.0,--,--,10,--,--
REST,,,0.0,00:02:10.828,--,--,0.0,--,--,--,4.463414634146342,--
6,FREESTYLE,15,375.0,00:08:01.328,0:21:23  ,0:18:05  ,43.0,--,--,166,11.0,75
6.1,FREESTYLE,1,25.0,00:00:33.375,0:22:15  ,0:22:15  ,44.0,--,--,11,--,--
6.2,FREESTYLE,1,25.0,00:00:27.125,0:18:05  ,0:18:05  ,36.0,--,--,9,--,--
6.3,FREESTYLE,1,25.0,00:00:29.812,0:19:53  ,0:19:53  ,40.0,--,--,10,--,--
