Split,Swim Stroke,Lengths,Distance,Time,Avg Pace,Best Pace,Avg SWOLF,Avg Power,Max Power,Total Strokes,Avg Strokes,Calories
1,MIXED,8,200.0,00:04:13.766,0:21:07  ,0:12:27  ,43.0,--,--,96,12.0,48
1.1,BREASTSTROKE,1,25.0,00:00:34.00,0:22:40  ,0:22:40  ,47.0,--,--,13,--,--
1.2,BREASTSTROKE,1,25.0,00:00:35.312,0:23:34  ,0:23:34  ,50.0,--,--,15,--,--
1.3,FREESTYLE,1,25.0,00:00:39.625,0:26:27  ,0:26:27  ,55.0,--,--,15,--,--
1.4,FREESTYLE,1,25.0,00:00:18.687,0:12:27  ,0:12:27  ,25.0,--,--,6,--,--
1.5,BREASTSTROKE,1,25.0,00:00:33.312,0:22:13  ,0:22:13  ,47.0,--,--,14,--,--
1.6,BREASTSTROKE,1,25.0,00:00:38.937,0:25:57  ,0:25:57  ,56.0,--,--,17,--,--
1.7,FREESTYLE,1,25.0,00:00:23.750,0:15:50  ,0:15:50  ,31.0,--,--,7,--,--
1.8,FREESTYLE,1,25.0,00:00:29.750,0:19:50  ,0:19:50  ,39.0,--,--,9,--,--
REST,,,0.0,00:01:01.453,--,--,0.0,--,--,--,8.727272727272727,--
2,DRILL,4,100.0,00:02:42.602,--,--,0.0,--,--,--,8.0,--
2.1,DRILL,1,25.0,00:00:40.650,--,--,--,--,--,0,--,--
2.2,DRILL,1,25.0,00:00:40.650,--,--,--,--,--,0,--,--
2.3,DRILL,1,25.0,00:00:40.650,--,--,--,--,--,0,--,--
2.4,DRILL,1,25.0,00:00:40.650,--,--,--,--,--,0,--,--
REST,,,0.0,00:00:38.961,--,--,0.0,--,--,--,8.0,--
3,MIXED,20,500.0,00:10:41.148,0:21:22  ,0:15:42  ,44.0,--,--,252,12.0,126
3.1,FREESTYLE,1,25.0,00:00:27.250,0:18:10  ,0:18:10  ,35.0,--,--,8,--,--
3.2,FREESTYLE,1,25.0,00:00:32.686,0:21:48  ,0:21:48  ,44.0,--,--,11,--,--
3.3,FREESTYLE,1,25.0,00:00:23.562,0:15:42  ,0:15:42  ,32.0,--,--,8,--,--
3.4,FREESTYLE,1,25.0,00:00:30.62,0:20:03  ,0:20:03  ,40.0,--,--,10,--,--
3.5,BREASTSTROKE,1,25.0,00:00:33.625,0:22:25  ,0:22:25  ,49.0,--,--,15,--,--
3.6,BREASTSTROKE,1,25.0,00:00:31.312,0:20:53  ,0:20:53  ,46.0,--,--,15,--,--
3.7,BREASTSTROKE,1,25.0,00:00:28.562,0:19:02  ,0:19:02  ,42.0,--,--,13,--,--
3.8,BREASTSTROKE,1,25.0,00:00:34.812,0:23:12  ,0:23:12  ,49.0,--,--,14,--,--
3.9,BACKSTROKE,1,25.0,00:00:35.437,0:23:38  ,0:23:38  ,48.0,--,--,13,--,--
3.10,BACKSTROKE,1,25.0,00:00:37.437,0:24:59  ,0:24:59  ,51.0,--,--,14,--,--
3.11,BACKSTROKE,1,25.0,00:00:36.500,0:24:21  ,0:24:21  ,50.0,--,--,13,--,--
3.12,BACKSTROKE,1,25.0,00:00:36.250,0:24:11  ,0:24:11  ,50.0,--,--,14,--,--
3.13,BREASTSTROKE,1,25.0,00:00:33.125,0:22:06  ,0:22:06  ,48.0,--,--,15,--,--
3.14,BREASTSTROKE,1,25.0,00:00:32.436,0:21:38  ,0:21:38  ,47.0,--,--,15,--,--
3.15,BREASTSTROKE,1,25.0,00:00:34.312,0:22:53  ,0:22:53  ,50.0,--,--,16,--,--
3.16,BREASTSTROKE,1,25.0,00:00:35.500,0:23:40  ,0:23:40  ,52.0,--,--,16,--,--
3.17,FREESTYLE,1,25.0,00:00:29.250,0:19:30  ,0:19:30  ,40.0,--,--,11,--,--
3.18,FREESTYLE,1,25.0,00:00:33.812,0:22:33  ,0:22:33  ,46.0,--,--,12,--,--
3.19,FREESTYLE,1,25.0,00:00:25.437,0:16:58  ,0:16:58  ,34.0,--,--,9,--,--
3.20,FREESTYLE,1,25.0,00:00:29.750,0:19:50  ,0:19:50  ,40.0,--,--,10,--,--
REST,,,0.0,00:01:03.664,--,--,0.0,--,--,--,9.942857142857143,--
4,DRILL,4,100.0,00:02:42.961,--,--,0.0,--,--,--,9.783783783783784,--
4.1,DRILL,1,25.0,00:00:40.740,--,--,--,--,--,0,--,--
4.2,DRILL,1,25.0,00:00:40.740,--,--,--,--,--,0,--,--
4.3,DRILL,1,25.0,00:00:40.740,--,--,--,--,--,0,--,--
4.4,DRILL,1,25.0,00:00:40.740,--,--,--,--,--,0,--,--
REST,,,0.0,00:00:32.226,--,--,0.0,--,--,--,9.783783783783784,--
5,MIXED,4,100.0,00:02:14.258,0:22:22  ,0:20:56  ,45.0,--,--,48,12.0,24
5.1,BREASTSTROKE,1,25.0,00:00:33.62,0:22:02  ,0:22:02  ,47.0,--,--,14,--,--
5.2,BREASTSTROKE,1,25.0,00:00:36.187,0:24:09  ,0:24:09  ,50.0,--,--,14,--,--
5.3,FREESTYLE,1,25.0,00:00:31.375,0:20:56  ,0:20:56  ,41.0,--,--,10,--,--
5.4,FREESTYLE,1,25.0,00:00:33.625,0:22:25  ,0:22:25  ,44.0,--,--,10,--,--
Summary,,40,1000.0,00:25:51.180,0:21:25  ,0:12:27  ,44.0,--,--,396,12.300000190734863,198
