Split,Swim Stroke,Lengths,Distance,Time,Avg Pace,Best Pace,Avg SWOLF,Avg Power,Max Power,Total Strokes,Avg Strokes,Calories
1,MIXED,8,200.0,00:04:25.234,0:22:04  ,0:15:55  ,45.0,--,--,98,12.0,46
1.1,FREESTYLE,1,25.0,00:00:37.437,0:24:59  ,0:24:59  ,47.0,--,--,10,--,--
1.2,FREESTYLE,1,25.0,00:00:23.875,0:15:55  ,0:15:55  ,31.0,--,--,7,--,--
1.3,FREESTYLE,1,25.0,00:00:31.62,0:20:43  ,0:20:43  ,41.0,--,--,10,--,--
1.4,FREESTYLE,1,25.0,00:00:31.250,0:20:49  ,0:20:49  ,41.0,--,--,10,--,--
1.5,BREASTSTROKE,1,25.0,00:00:39.187,0:26:09  ,0:26:09  ,56.0,--,--,17,--,--
1.6,FREESTYLE,1,25.0,00:00:26.875,0:17:55  ,0:17:55  ,39.0,--,--,12,--,--
1.7,BREASTSTROKE,1,25.0,00:00:37.312,0:24:52  ,0:24:52  ,52.0,--,--,15,--,--
1.8,BREASTSTROKE,1,25.0,00:00:37.875,0:25:15  ,0:25:15  ,55.0,--,--,17,--,--
REST,,,0.0,00:02:17.148,--,--,0.0,--,--,--,10.88888888888889,--
2,DRILL,2,50.0,00:01:08.461,--,--,0.0,--,--,--,8.909090909090908,--
2.1,DRILL,1,25.0,00:00:34.230,--,--,--,--,--,0,--,--
2.2,DRILL,1,25.0,00:00:34.230,--,--,--,--,--,0,--,--
REST,,,0.0,00:00:07.539,--,--,0.0,--,--,--,8.909090909090908,--
3,DRILL,2,50.0,00:01:38.477,--,--,0.0,--,--,--,7.538461538461538,--
3.1,DRILL,1,25.0,00:00:49.238,--,--,--,--,--,0,--,--
3.2,DRILL,1,25.0,00:00:49.238,--,--,--,--,--,0,--,--
REST,,,0.0,00:00:33.898,--,--,0.0,--,--,--,7.538461538461538,--
4,DRILL,2,50.0,00:01:31.680,--,--,0.0,--,--,--,6.533333333333333,--
4.1,DRILL,1,25.0,00:00:45.840,--,--,--,--,--,0,--,--
4.2,DRILL,1,25.0,00:00:45.840,--,--,--,--,--,0,--,--
REST,,,0.0,00:01:38.445,--,--,0.0,--,--,--,6.533333333333333,--
5,DRILL,2,50.0,00:01:31.883,--,--,0.0,--,--,--,5.764705882352941,--
5.1,DRILL,1,25.0,00:00:45.941,--,--,--,--,--,0,--,--
5.2,DRILL,1,25.0,00:00:45.941,--,--,--,--,--,0,--,--
REST,,,0.0,00:00:11.805,--,--,0.0,--,--,--,5.764705882352941,--
6,DRILL,2,50.0,00:01:29.500,--,--,0.0,--,--,--,5.631578947368421,--
6.1,DRILL,1,25.0,00:00:44.750,--,--,--,--,--,0,--,--
6.2,DRILL,1,25.0,00:00:44.750,--,--,--,--,--,0,--,--
REST,,,0.0,00:00:21.500,--,--,0.0,--,--,--,5.631578947368421,--
7,FREESTYLE,2,50.0,00:00:56.336,0:18:47  ,0:17:40  ,37.0,--,--,18,9.0,10
7.1,FREESTYLE,1,25.0,00:00:26.500,0:17:40  ,0:17:40  ,36.0,--,--,9,--,--
7.2,FREESTYLE,1,25.0,00:00:29.875,0:19:56  ,0:19:56  ,39.0,--,--,9,--,--
REST,,,0.0,00:00:27.39,--,--,0.0,--,--,--,6.095238095238095,--
8,FREESTYLE,2,50.0,00:01:02.188,0:20:45  ,0:18:26  ,41.0,--,--,20,10.0,10
8.1,FREESTYLE,1,25.0,00:00:34.625,0:23:05  ,0:23:05  ,47.0,--,--,12,--,--
8.2,FREESTYLE,1,25.0,00:00:27.625,0:18:26  ,0:18:26  ,36.0,--,--,8,--,--
REST,,,0.0,00:00:11.313,--,--,0.0,--,--,--,6.565217391304348,--
9,MIXED,2,50.0,00:01:07.883,0:22:38  ,0:21:18  ,49.0,--,--,30,15.0,12
9.1,FREESTYLE,1,25.0,00:00:31.937,0:21:18  ,0:21:18  ,47.0,--,--,15,--,--
9.2,BREASTSTROKE,1,25.0,00:00:36.00,0:24:00  ,0:24:00  ,51.0,--,--,15,--,--
REST,,,0.0,00:01:20.180,--,--,0.0,--,--,--,7.0,--
10,FREESTYLE,8,200.0,00:03:23.47,0:16:55  ,0:13:52  ,34.0,--,--,70,8.0,40
10.1,FREESTYLE,1,25.0,00:00:28.375,0:18:55  ,0:18:55  ,37.0,--,--,9,--,--
10.2,FREESTYLE,1,25.0,00:00:20.812,0:13:52  ,0:13:52  ,28.0,--,--,7,--,--
10.3,FREESTYLE,1,25.0,00:00:29.437,0:19:37  ,0:19:37  ,39.0,--,--,10,--,--
10.4,FREESTYLE,1,25.0,00:00:22.62,0:14:42  ,0:14:42  ,30.0,--,--,8,--,--
10.5,FREESTYLE,1,25.0,00:00:25.375,0:16:55  ,0:16:55  ,34.0,--,--,9,--,--
10.6,FREESTYLE,1,25.0,00:00:29.125,0:19:25  ,0:19:25  ,39.0,--,--,10,--,--
10.7,FREESTYLE,1,25.0,00:00:22.187,0:14:48  ,0:14:48  ,30.0,--,--,8,--,--
10.8,FREESTYLE,1,25.0,00:00:25.750,0:17:10  ,0:17:10  ,35.0,--,--,9,--,--
REST,,,0.0,00:00:57.453,--,--,0.0,--,--,--,7.545454545454546,--
11,BREASTSTROKE,4,100.0,00:02:06.828,0:21:09  ,0:17:35  ,46.0,--,--,59,14.0,30
11.1,BREASTSTROKE,1,25.0,00:00:26.375,0:17:35  ,0:17:35  ,39.0,--,--,13,--,--
11.2,BREASTSTROKE,1,25.0,00:00:35.312,0:23:34  ,0:23:34  ,52.0,--,--,17,--,--
11.3,BREASTSTROKE,1,25.0,00:00:34.187,0:22:47  ,0:22:47  ,48.0,--,--,14,--,--
11.4,BREASTSTROKE,1,25.0,00:00:31.00,0:20:40  ,0:20:40  ,46.0,--,--,15,--,--
REST,,,0.0,00:00:14.359,--,--,0.0,--,--,--,8.35135135135135,--
12,BACKSTROKE,4,100.0,00:02:30.266,0:25:03  ,0:24:11  ,50.0,--,--,51,12.0,28
12.1,BACKSTROKE,1,25.0,00:00:39.437,0:26:19  ,0:26:19  ,53.0,--,--,14,--,--
12.2,BACKSTROKE,1,25.0,00:00:37.562,0:25:03  ,0:25:03  ,50.0,--,--,12,--,--
12.3,BACKSTROKE,1,25.0,00:00:36.250,0:24:11  ,0:24:11  ,49.0,--,--,13,--,--
12.4,BACKSTROKE,1,25.0,00:00:37.62,0:24:43  ,0:24:43  ,49.0,--,--,12,--,--
REST,,,0.0,00:01:09.547,--,--,0.0,--,--,--,8.682926829268293,--
13,FREESTYLE,20,500.0,00:10:12.398,0:20:25  ,0:16:23  ,40.0,--,--,200,10.0,100
13.1,FREESTYLE,1,25.0,00:00:27.937,0:18:38  ,0:18:38  ,38.0,--,--,10,--,--
13.2,FREESTYLE,1,25.0,00:00:28.62,0:18:43  ,0:18:43  ,37.0,--,--,9,--,--
13.3,FREESTYLE,1,25.0,00:00:32.61,0:21:23  ,0:21:23  ,42.0,--,--,10,--,--
13.4,FREESTYLE,1,25.0,00:00:30.875,0:20:36  ,0:20:36  ,41.0,--,--,10,--,--
13.5,FREESTYLE,1,25.0,00:00:32.125,0:21:25  ,0:21:25  ,42.0,--,--,10,--,--
13.6,FREESTYLE,1,25.0,00:00:30.125,0:20:06  ,0:20:06  ,41.0,--,--,11,--,--
13.7,FREESTYLE,1,25.0,00:00:29.312,0:19:33  ,0:19:33  ,39.0,--,--,10,--,--
13.8,FREESTYLE,1,25.0,00:00:27.312,0:18:12  ,0:18:12  ,36.0,--,--,9,--,--
13.9,FREESTYLE,1,25.0,00:00:32.186,0:21:28  ,0:21:28  ,43.0,--,--,11,--,--
13.10,FREESTYLE,1,25.0,00:00:27.812,0:18:33  ,0:18:33  ,37.0,--,--,9,--,--
13.11,FREESTYLE,1,25.0,00:00:33.562,0:22:24  ,0:22:24  ,46.0,--,--,12,--,--
13.12,FREESTYLE,1,25.0,00:00:27.187,0:18:08  ,0:18:08  ,35.0,--,--,8,--,--
13.13,FREESTYLE,1,25.0,00:00:30.437,0:20:18  ,0:20:18  ,40.0,--,--,10,--,--
13.14,FREESTYLE,1,25.0,00:00:34.750,0:23:10  ,0:23:10  ,47.0,--,--,12,--,--
13.15,FREESTYLE,1,25.0,00:00:30.62,0:20:03  ,0:20:03  ,40.0,--,--,10,--,--
13.16,FREESTYLE,1,25.0,00:00:38.687,0:25:47  ,0:25:47  ,50.0,--,--,11,--,--
13.17,FREESTYLE,1,25.0,00:00:24.562,0:16:23  ,0:16:23  ,33.0,--,--,8,--,--
13.18,FREESTYLE,1,25.0,00:00:29.187,0:19:28  ,0:19:28  ,38.0,--,--,9,--,--
13.19,FREESTYLE,1,25.0,00:00:32.812,0:21:54  ,0:21:54  ,44.0,--,--,11,--,--
13.20,FREESTYLE,1,25.0,00:00:33.375,0:22:15  ,0:22:15  ,43.0,--,--,10,--,--
REST,,,0.0,00:01:05.539,--,--,0.0,--,--,--,9.245901639344263,--
14,MIXED,8,200.0,00:05:09.500,0:25:47  ,0:21:30  ,54.0,--,--,130,16.0,54
14.1,BREASTSTROKE,1,25.0,00:00:43.00,0:28:41  ,0:28:41  ,61.0,--,--,18,--,--
14.2,BREASTSTROKE,1,25.0,00:00:32.250,0:21:30  ,0:21:30  ,46.0,--,--,14,--,--
14.3,BREASTSTROKE,1,25.0,00:00:40.562,0:27:03  ,0:27:03  ,57.0,--,--,16,--,--
14.4,BREASTSTROKE,1,25.0,00:00:36.812,0:24:32  ,0:24:32  ,53.0,--,--,16,--,--
14.5,FREESTYLE,1,25.0,00:00:37.437,0:24:59  ,0:24:59  ,54.0,--,--,17,--,--
14.6,BREASTSTROKE,1,25.0,00:00:39.00,0:26:00  ,0:26:00  ,57.0,--,--,18,--,--
14.7,BREASTSTROKE,1,25.0,00:00:38.187,0:25:29  ,0:25:29  ,55.0,--,--,17,--,--
14.8,BACKSTROKE,1,25.0,00:00:42.250,0:28:12  ,0:28:12  ,56.0,--,--,14,--,--
Summary,,68,1700.0,00:48:49.813,0:21:18  ,0:13:52  ,43.0,--,--,676,11.600000381469727,330
